subclass,subclass_URI,superclass,superclass_URI
hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000988,somatic cell,http://purl.obolibrary.org/obo/CL_0002371
hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000988,animal cell,http://purl.obolibrary.org/obo/CL_0000548
blood cell,http://purl.obolibrary.org/obo/CL_0000081,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000988
T cell,http://purl.obolibrary.org/obo/CL_0000084,lymphocyte,http://purl.obolibrary.org/obo/CL_0000542
"naive thymus-derived CD4-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_0000895,"CD4-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_0000624
"naive thymus-derived CD4-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_0000895,naive T cell,http://purl.obolibrary.org/obo/CL_0000898
retinal ganglion cell,http://purl.obolibrary.org/obo/CL_0000740,CNS neuron (sensu Vertebrata),http://purl.obolibrary.org/obo/CL_0000117
retinal ganglion cell,http://purl.obolibrary.org/obo/CL_0000740,retinal cell,http://purl.obolibrary.org/obo/CL_0009004
endothelial cell,http://purl.obolibrary.org/obo/CL_0000115,meso-epithelial cell,http://purl.obolibrary.org/obo/CL_0002078
endothelial cell,http://purl.obolibrary.org/obo/CL_0000115,lining cell,http://purl.obolibrary.org/obo/CL_0000213
memory B cell,http://purl.obolibrary.org/obo/CL_0000787,mature B cell,http://purl.obolibrary.org/obo/CL_0000785
naive B cell,http://purl.obolibrary.org/obo/CL_0000788,mature B cell,http://purl.obolibrary.org/obo/CL_0000785
plasmablast,http://purl.obolibrary.org/obo/CL_0000980,mature B cell,http://purl.obolibrary.org/obo/CL_0000785
plasmablast,http://purl.obolibrary.org/obo/CL_0000980,antibody secreting cell,http://purl.obolibrary.org/obo/CL_0000946
adipocyte,http://purl.obolibrary.org/obo/CL_0000136,stuff accumulating cell,http://purl.obolibrary.org/obo/CL_0000325
adipocyte,http://purl.obolibrary.org/obo/CL_0000136,connective tissue cell,http://purl.obolibrary.org/obo/CL_0002320
preadipocyte,http://purl.obolibrary.org/obo/CL_0002334,fibroblast,http://purl.obolibrary.org/obo/CL_0000057
macrophage,http://purl.obolibrary.org/obo/CL_0000235,professional antigen presenting cell,http://purl.obolibrary.org/obo/CL_0000145
macrophage,http://purl.obolibrary.org/obo/CL_0000235,myeloid leukocyte,http://purl.obolibrary.org/obo/CL_0000766
macrophage,http://purl.obolibrary.org/obo/CL_0000235,phagocyte,http://purl.obolibrary.org/obo/CL_0000234
