gen_name,hematopoietic stem cell,hematopoietic stem cell and thrombocyte,marrow-derived B cell,mature T cell,neutrophil and myeloid cell,thymic T cell
ENSDARG00000105283,25.372877466727857,29.50321248279027,0.0,0.0,0.0,48.29623680587425
ENSDARG00000105285,53.6369894446994,28.384580082606703,48.27902707664066,54.818724185406154,38.802202845341895,56.786369894447
ENSDARG00000105286,82.25103258375401,74.81642955484166,82.25103258375401,80.7251032583754,65.06998623221662,76.33088572739788
ENSDARG00000105287,66.18861863240019,91.98600275355668,85.02753556677375,97.48164295548418,90.73542909591555,88.08513079394218
ENSDARG00000105288,52.71340064249655,48.90431390546122,71.40316659017898,80.85704451583295,59.48829738412116,85.9281780633318
ENSDARG00000105293,93.66681964203764,93.39720055071133,87.99334557136301,70.43942175309775,87.16154199173933,75.04589261128957
ENSDARG00000105295,37.821248279027074,56.60279944928867,0.0,0.0,0.0,39.03740247820101
ENSDARG00000105300,73.10119320789353,74.77053694355209,83.18035796236806,79.99655805415328,74.91395135383203,94.75103258375401
ENSDARG00000105301,26.210417622762733,25.114731528223956,44.54451583295089,63.88825149150986,37.64915098669114,53.87218907755851
ENSDARG00000105305,38.57273978889399,27.294630564479117,0.0,28.573887104176226,38.94561725562185,54.49173932996787
ENSDARG00000105306,42.86943552088114,47.34396512161542,0.0,29.181964203763194,18.678292794860027,25.470399265718218
ENSDARG00000105314,15.907526388251492,0.0,0.0,50.550711335474986,0.0,0.0
ENSDARG00000105317,25.20651675080312,18.431620009178523,34.413721890775584,0.0,21.810463515374025,34.54566314823314
ENSDARG00000105321,70.18701239100504,54.996558054153276,55.931620009178516,78.19527306103717,66.95158329508949,0.0
ENSDARG00000105328,35.18815970628729,25.20651675080312,23.864157870582837,43.02432308398348,28.350160624139516,0.0
ENSDARG00000105334,28.41326296466269,16.595915557595227,28.09775126204681,70.90408444240477,46.43184947223497,46.19664983937586
ENSDARG00000105336,0.0,23.75516291877008,0.0,0.0,49.50091785222579,0.0
ENSDARG00000105340,22.76847177604406,25.963744837081233,0.0,0.0,0.0,0.0
ENSDARG00000105341,19.573198715006885,20.118173474070673,0.0,0.0,0.0,0.0
ENSDARG00000105343,35.6872418540615,35.50940798531436,55.558742542450666,61.76571821936668,44.64203763194126,63.245754933455714
ENSDARG00000105345,34.72923359339146,33.76548875631023,0.0,32.159247361174856,33.243460302891236,0.0
ENSDARG00000105348,27.17989903625516,0.0,56.45364846259751,0.0,0.0,27.093850390087198
ENSDARG00000105350,40.60348783845801,36.920605782469025,0.0,41.79669573198715,38.49816429554841,0.0
ENSDARG00000105353,23.79531895364846,13.612895823772373,0.0,0.0,0.0,0.0
ENSDARG00000105355,14.783157411656722,8.74827902707664,0.0,31.95846718678293,21.6096833409821,28.694355208811384
ENSDARG00000105359,46.01881597062873,8.042680128499311,0.0,0.0,32.85337310692979,30.300596603946765
ENSDARG00000105363,29.617944011014224,54.31390546122075,57.44607618173474,97.65947682423129,0.0,0.0
ENSDARG00000105364,52.793712712253324,44.58467186782928,50.16636071592474,81.97567691601652,51.91027994492886,60.11932078935291
ENSDARG00000105366,20.904084442404773,28.55094079853144,0.0,39.73152822395594,0.0,0.0
ENSDARG00000105367,26.80128499311611,36.41578705828362,49.11656723267554,55.994722349701696,51.875860486461676,62.17301514456173
ENSDARG00000105372,20.921294171638365,19.033960532354293,0.0,61.823083983478654,0.0,32.004359798072514
ENSDARG00000105374,23.25608077099587,24.489444699403396,24.122303809086738,0.0,0.0,0.0
ENSDARG00000105375,0.0,0.0,32.05598898577329,0.0,34.71202386415787,0.0
ENSDARG00000105377,0.0,0.0,0.0,85.60692978430473,0.0,0.0
ENSDARG00000105379,12.958926112895824,29.646626893070216,0.0,65.47728315741166,0.0,27.65029830197338
ENSDARG00000105382,15.178981184029372,8.74827902707664,0.0,0.0,0.0,0.0
ENSDARG00000105386,0.0,19.125745754933458,0.0,47.79715465810004,0.0,0.0
ENSDARG00000105393,18.162000917852225,20.456631482331346,0.0,35.308627810922445,45.16980266177145,0.0
ENSDARG00000105394,64.73152822395595,53.441945846718674,45.468104635153736,44.71661312528683,23.64616796695732,33.21477742083525
ENSDARG00000105397,28.476365305185862,0.0,0.0,0.0,0.0,0.0
ENSDARG00000105398,57.27971546581,51.531665901789815,74.07641119779716,68.05300596603946,19.349472234970168,68.11037173015144
ENSDARG00000105400,15.167508031206975,15.024093620927031,0.0,40.96489215236347,0.0,0.0
ENSDARG00000105403,23.789582377237263,14.444699403396053,24.569756769160165,0.0,31.860945387792565,29.67530977512621
ENSDARG00000105405,12.568838916934375,11.329738412115649,28.866452501147315,0.0,0.0,0.0
ENSDARG00000105409,41.98026617714548,22.68242312987609,0.0,56.729004130335014,31.373336392840752,50.30403854979348
ENSDARG00000105411,31.086507572280865,25.923588802202847,40.82147774208352,53.26411197797155,41.05667737494264,55.36943552088114
ENSDARG00000105412,69.95754933455713,53.625516291877005,79.59499770536944,70.19274896741624,38.067921064708585,54.904772831574114
ENSDARG00000105414,19.92312987608995,9.350619550252409,0.0,0.0,0.0,0.0
ENSDARG00000105417,38.48095456631482,38.48095456631482,35.079164754474526,35.22831574116567,43.62666360715925,38.033501606241394
ENSDARG00000105418,18.293942175309773,0.0,0.0,0.0,37.05254703992657,0.0
ENSDARG00000105422,28.252638825149152,28.44194584671868,45.5713630105553,59.34488297384121,31.080770995869667,45.93850390087196
ENSDARG00000105423,0.0,0.0,24.500917852225793,0.0,33.495869664983935,72.1087654887563
ENSDARG00000105424,0.0,55.00229463056448,0.0,54.45158329508949,0.0,88.38343276732446
ENSDARG00000105427,11.547728315741166,0.0,0.0,0.0,38.43506195502524,0.0
ENSDARG00000105428,55.22028453419,56.66590178981185,80.1973382285452,0.0,58.54749885268472,0.0
ENSDARG00000105430,39.938044974759066,38.13675998164295,0.0,37.55736576411198,37.98187241854061,26.92175309775126
ENSDARG00000105431,31.64869206057825,11.914869206057825,0.0,44.36094538779257,26.067003212482792,0.0
ENSDARG00000105433,86.7083524552547,50.258145938503894,0.0,0.0,35.09063790729692,0.0
ENSDARG00000105435,14.811840293712713,7.251032583754016,0.0,0.0,0.0,34.94148692060578
ENSDARG00000105438,28.436209270307483,22.734052317576868,94.83134465351078,36.16337769619091,34.132629646626896,96.13928407526389
