gen_name,dormant hematopoietic stem cell,hematopoietic stem cell
ENSMUSG00000001657,27.815220443695594,27.40803145183937
ENSMUSG00000001661,4.886267902274642,30.9229617148741
ENSMUSG00000001663,76.1490218103529,80.60937938781241
ENSMUSG00000001665,76.42516147149678,77.48759711691471
ENSMUSG00000001666,62.070579425255076,61.36384910605636
ENSMUSG00000001674,71.12702424412618,73.15828887016755
ENSMUSG00000001687,96.81737339698586,92.34765515304689
ENSMUSG00000001700,45.230740428718526,50.10296733127399
ENSMUSG00000001707,80.291116727511,81.65309370027146
ENSMUSG00000001729,79.94009173453149,69.10512028456426
ENSMUSG00000001739,22.072451558550966,29.860526069456146
ENSMUSG00000001741,90.63933352054666,87.12440325751194
ENSMUSG00000001750,57.58213984835721,72.67153421323597
ENSMUSG00000001751,50.79565665075353,45.98427408031452
ENSMUSG00000001755,71.26743424131799,57.174950856500985
ENSMUSG00000001761,80.37536272582608,68.65112796031077
ENSMUSG00000001763,52.461855284096224,47.95001404099972
ENSMUSG00000001767,82.70616867920995,79.04614808574371
ENSMUSG00000001768,90.0496115323411,70.13479359730412
ENSMUSG00000001774,93.18075446971824,93.69091079284844
ENSMUSG00000001783,92.31021248712908,92.40849948516335
ENSMUSG00000001785,80.3098380604699,84.95272863427876
ENSMUSG00000001786,67.42488065150238,76.86511279603107
ENSMUSG00000001794,88.98717588692315,92.38977815220444
ENSMUSG00000001829,82.02284002620986,80.45960872414116
ENSMUSG00000001833,99.14349901713003,98.97968735373959
ENSMUSG00000001844,71.29083590751661,72.98511654029767
ENSMUSG00000001847,96.04043807919123,96.62547973415707
ENSMUSG00000001855,88.9965365534026,89.42712721145746
ENSMUSG00000001864,20.200318262660304,33.11335767106618
ENSMUSG00000001865,38.96845455396424,57.020499859590004
ENSMUSG00000001870,46.414864738369374,56.42609753814472
ENSMUSG00000001891,88.24768323504634,86.4176729383132
ENSMUSG00000001901,32.799775344004495,16.01610034634466
ENSMUSG00000001909,67.00365065992699,76.28943180754469
ENSMUSG00000001910,48.78311335767106,62.90835907516615
ENSMUSG00000001911,75.19423382944865,74.15519985022934
ENSMUSG00000001918,64.54179537583076,85.41140129177197
ENSMUSG00000001924,87.9949452401011,92.94205747449217
ENSMUSG00000001930,73.72928952541422,89.46456987737527
ENSMUSG00000001942,87.03547692595713,86.26790227464195
ENSMUSG00000001943,38.15875690349153,49.480483010390344
ENSMUSG00000001946,86.63296826734064,88.53786389590938
ENSMUSG00000001948,45.37115042591032,40.662735186745294
ENSMUSG00000001962,61.326406440138534,63.9520733876252
ENSMUSG00000001964,53.51961059627446,67.16746232331742
ENSMUSG00000001983,39.93260320134794,43.34456613310868
