gen_name,protoplast
AT1G03170,10.216387065402383
AT1G03180,34.37879893022125
AT1G03190,43.36494043277413
AT1G03200,23.593484074884515
AT1G03210,61.463651835643084
AT1G03220,92.97836129345977
AT1G03230,86.85630926331145
AT1G03240,20.865548261609533
AT1G03250,63.84634087041089
AT1G03260,54.37879893022125
AT1G03270,23.569170921468515
AT1G03280,64.00680768295648
AT1G03290,55.77437393629954
AT1G03300,6.943836615609045
AT1G03310,35.18113299294919
AT1G03330,87.87259907610017
AT1G03350,84.12837345003646
AT1G03360,33.41599805494773
AT1G03365,51.680038901045464
AT1G03370,71.51470945781668
AT1G03380,51.222951616824695
AT1G03410,51.15487478725991
AT1G03430,48.830537320690496
AT1G03440,33.381959640165334
AT1G03445,20.99197665937272
AT1G03457,58.85241915876489
AT1G03470,27.809384877218573
AT1G03475,59.00316070994408
AT1G03510,4.37150498419645
AT1G03520,55.944566010211524
AT1G03530,30.34281546316557
AT1G03540,0.6272793581327498
AT1G03550,67.25504497933382
AT1G03560,32.30245562849501
AT1G03590,80.28203257962558
AT1G03600,19.28519328956966
AT1G03610,71.18405057135911
AT1G03620,6.097738876732312
AT1G03630,4.7799659615852175
AT1G03650,18.550936056406517
AT1G03660,22.41186481886701
AT1G03680,40.23826890347678
AT1G03687,33.377097009482135
AT1G03710,5.3051300753707755
AT1G03730,69.37515195720884
AT1G03740,50.94091903719913
AT1G03750,27.34743496231461
AT1G03760,22.572331631412595
AT1G03770,33.707755895939705
AT1G03780,28.529054218332117
AT1G03790,9.798200826647216
AT1G03800,3.7442256260637006
AT1G03820,25.426695842450762
AT1G03830,22.159008023340625
AT1G03840,36.168247021638706
AT1G03850,66.17554096766351
AT1G03860,87.35229759299781
AT1G03870,98.86214442013129
AT1G03880,1.0551908582543157
AT1G03900,95.43398978847557
AT1G03905,46.37977145635789
AT1G03910,69.38973984925845
AT1G03920,36.683685874057865
AT1G03930,47.85314855336737
AT1G03950,30.430342815463167
AT1G03960,36.76635059567226
AT1G03970,60.768295647945536
AT1G04000,63.23364940432774
AT1G04010,43.99708242159008
AT1G04020,36.93168003890104
AT1G04030,32.355944566010216
AT1G04040,98.39533187454413
AT1G04050,21.85266229029905
AT1G04070,66.98273766107464
AT1G04080,80.97252613663993
AT1G04090,17.15049841964503
AT1G04100,34.728908339411625
AT1G04110,8.13031850230975
AT1G04120,80.33552151714078
AT1G04130,50.89229273036713
AT1G04140,88.15463165572575
AT1G04160,59.93192317043521
AT1G04170,88.74300996839291
AT1G04180,46.744468757597865
AT1G04190,67.46900072939461
AT1G04200,67.75103330902019
AT1G04210,67.66350595672259
AT1G04230,46.428397763189885
AT1G04240,78.04035983467055
AT1G04250,98.31266715292973
AT1G04260,75.65280816921954
AT1G04270,98.57038657913931
AT1G04280,66.2971067347435
AT1G04290,81.48310235837587
AT1G04300,67.80452224653537
AT1G04310,36.28495015803549
AT1G04330,10.493557014344761
AT1G04340,88.93265256503769
AT1G04360,24.230488694383663
AT1G04390,33.93143690736689
AT1G04400,78.90590809628009
AT1G04410,99.62071480671042
AT1G04420,22.815463165572574
AT1G04430,90.23583758813518
AT1G04440,78.06953561876976
AT1G04445,26.13177729151471
AT1G04480,95.73547289083393
AT1G04490,22.99051787016776
AT1G04510,69.20495988329687
AT1G04520,59.81035740335522
AT1G04530,68.05251641137856
AT1G04540,12.01069778750304
AT1G04550,70.68806224167274
AT1G04555,51.261852662290295
AT1G04560,2.7960126428397762
AT1G04570,39.58181376124483
AT1G04590,34.49063943593484
AT1G04600,7.87259907610017
AT1G04610,73.07561390712375
AT1G04620,20.729394602479942
AT1G04625,16.50376853877948
AT1G04630,94.8747872599076
AT1G04635,23.27741308047654
AT1G04640,26.929248723559446
AT1G04650,13.216630196936544
AT1G04660,16.61074641380987
AT1G04670,1.5900802334062727
AT1G04680,91.06734743496231
AT1G04690,94.11135424264528
AT1G04700,44.9841964502796
AT1G04710,34.61220520301483
AT1G04730,28.932652565037685
AT1G04750,95.31242402139557
AT1G04760,22.494529540481402
AT1G04770,73.64940432774131
AT1G04778,36.19256017505471
AT1G04780,59.34840748845125
AT1G04790,51.436907366885485
AT1G04810,83.7150498419645
AT1G04820,99.18794067590566
AT1G04830,63.14125942134695
AT1G04840,13.012399708242159
AT1G04850,90.54218332117676
AT1G04860,67.6586433260394
AT1G04870,56.15852176027231
AT1G04880,2.640408460977389
AT1G04890,4.8431801604668125
AT1G04900,43.559445660102114
AT1G04910,67.4203744225626
AT1G04920,7.104303428154632
AT1G04930,26.165815706297106
AT1G04940,54.56844152686603
AT1G04945,26.598589837101873
AT1G04950,51.067347434962315
AT1G04960,74.53926574276683
AT1G04970,56.01750547045952
AT1G04980,84.09433503525408
AT1G04985,66.1560904449307
AT1G04990,78.24459032336493
AT1G05000,59.39217116460005
AT1G05005,2.87381473377097
AT1G05010,25.74276683685874
AT1G05020,24.789691222951618
AT1G05030,33.92171164600049
AT1G05055,45.49477267201556
AT1G05060,31.446632628251887
AT1G05065,6.900072939460249
AT1G05070,51.20836372477511
AT1G05087,12.565037685387795
AT1G05090,52.63797714563579
AT1G05100,90.01215657670801
AT1G05120,60.52030148310236
AT1G05140,28.572817894480913
AT1G05150,84.11378555798687
AT1G05160,44.11378555798687
AT1G05170,72.5261366399222
AT1G05180,64.12837345003646
AT1G05190,38.02090931193776
AT1G05200,13.87308533916849
