gen_name,mesenchymal stem cell of the bone marrow
ENSG00000015520,15.36464593048411
ENSG00000015532,89.72645545887217
ENSG00000015568,84.79880774962743
ENSG00000015592,21.138406807365033
ENSG00000015676,77.32320561511466
ENSG00000016082,6.27373683957502
ENSG00000016391,31.527330416806887
ENSG00000016864,90.77928945723764
ENSG00000017260,91.76481899908659
ENSG00000017427,41.969136099226
ENSG00000017483,47.66117013605115
ENSG00000017797,83.98153934906975
ENSG00000018189,95.84154607951541
ENSG00000018236,13.600307677515506
ENSG00000018280,54.79063506562184
ENSG00000018408,89.01495120426902
ENSG00000018510,86.51987885197828
ENSG00000018610,66.59775972309023
ENSG00000018625,26.84967068890919
ENSG00000018699,76.51074467573675
ENSG00000018869,38.33469544733426
ENSG00000019144,82.23643094082014
ENSG00000019186,57.526080476900155
ENSG00000019485,29.609153406086246
ENSG00000019505,14.06663141195135
ENSG00000019549,77.97221287438104
ENSG00000019582,43.41618191433104
ENSG00000019991,52.925340127878464
ENSG00000019995,73.71280226912168
ENSG00000020129,56.223258497187636
ENSG00000020181,50.800442286428535
ENSG00000020256,65.04494976203067
ENSG00000020426,83.51040815345416
ENSG00000020577,79.4481034565646
ENSG00000020633,57.963559444257484
ENSG00000020922,81.23647901543195
ENSG00000021300,11.787894812749387
ENSG00000021355,72.07826546800634
ENSG00000021461,40.406711215806936
ENSG00000021488,28.051535983846932
ENSG00000021574,77.5539637517427
ENSG00000021645,46.194894476227105
ENSG00000021762,31.31580212489784
ENSG00000021776,90.70717753954138
ENSG00000021826,75.90981202826788
ENSG00000022267,95.3319551944618
ENSG00000022277,90.82736406903514
ENSG00000022355,17.927022739291377
ENSG00000022556,52.98783712321523
ENSG00000022567,35.50310081246094
ENSG00000022840,86.13047449641844
ENSG00000022976,53.713763761357626
ENSG00000023041,84.24114225277631
ENSG00000023171,63.367145810297586
ENSG00000023191,83.65463198884669
ENSG00000023228,91.25522811403299
ENSG00000023287,94.52910917744339
ENSG00000023318,91.08696697274169
ENSG00000023330,70.57833757992404
ENSG00000023445,49.68991875390606
ENSG00000023516,89.47166001634537
ENSG00000023572,76.92418633719532
ENSG00000023608,93.12052305177636
ENSG00000023697,83.22676794384886
ENSG00000023734,96.93283976731888
ENSG00000023839,38.42122974856978
ENSG00000023902,50.824479592327286
ENSG00000023909,76.60689389933177
ENSG00000024048,95.50502379693285
ENSG00000024422,89.66395846353541
ENSG00000024526,71.49175520407672
ENSG00000024862,67.59290418729869
ENSG00000025039,28.152492668621704
ENSG00000025156,75.35695399259652
ENSG00000025293,94.55314648334215
ENSG00000025423,44.661314359886546
ENSG00000025434,36.09441853757031
ENSG00000025708,31.772510936974186
ENSG00000025770,37.73376279986539
ENSG00000025772,77.11167732320561
ENSG00000025796,98.0000961492236
ENSG00000025800,96.4905533387818
ENSG00000026025,99.74039709629345
ENSG00000026103,91.24561319167348
ENSG00000026297,44.464208451516754
ENSG00000026508,99.7932791692707
ENSG00000026559,37.08956300177876
ENSG00000026652,62.05951636940532
ENSG00000026751,24.234411807124655
ENSG00000026950,69.16975145425701
ENSG00000027001,65.69395702129705
ENSG00000027075,66.72756117494352
ENSG00000027697,91.36099225998751
ENSG00000027847,51.23311379260612
ENSG00000027869,3.3027258304889187
ENSG00000028116,81.76529974520456
ENSG00000028137,47.12754194509879
ENSG00000028203,92.21672034998318
ENSG00000028277,42.67102543146964
ENSG00000028310,60.54997355896351
ENSG00000028528,79.13561847988078
ENSG00000028839,80.70765828565935
ENSG00000029153,78.83274842555646
ENSG00000029363,98.4327676554012
ENSG00000029364,98.91832123455603
ENSG00000029534,30.71486947742897
ENSG00000029559,43.99788471708091
ENSG00000029639,75.80404788231336
ENSG00000029725,87.96692466708332
ENSG00000029993,72.36671313879141
ENSG00000030066,83.06331426373733
ENSG00000030110,42.52199413489736
ENSG00000030304,45.64203644055574
ENSG00000030419,58.252007115042545
ENSG00000030582,80.31825393009952
ENSG00000031003,81.38551031200423
ENSG00000031081,71.583096966492
ENSG00000031691,57.31455218499111
ENSG00000031698,96.90880246142012
ENSG00000031823,53.766645834334895
ENSG00000032219,88.8130378347195
ENSG00000032389,64.51132157107831
ENSG00000032444,43.81520119225038
ENSG00000032742,75.65982404692082
ENSG00000033011,53.24744002692178
ENSG00000033030,69.89567809239941
