gen_name,adipocyte,preadipocyte
ENSMUSG00000001323,71.15219260533104,50.95811325390002
ENSMUSG00000001333,5.195921876919297,0.0
ENSMUSG00000001334,33.724358186954916,27.96339516029972
ENSMUSG00000001348,21.029357572779755,43.35462473897556
ENSMUSG00000001349,68.25942758874831,0.0
ENSMUSG00000001366,61.331531752855916,49.12787126888588
ENSMUSG00000001376,65.05957499078737,75.7032305613561
ENSMUSG00000001380,81.94325021496131,89.48532121361012
ENSMUSG00000001383,87.26814887605944,79.29001351185359
ENSMUSG00000001403,27.07898292593047,64.27957253408672
ENSMUSG00000001415,59.777668591082175,94.84092863284609
ENSMUSG00000001416,85.71428571428571,96.56061908856405
ENSMUSG00000001418,84.5534946566761,83.98231175531261
ENSMUSG00000001419,91.54280800884412,93.11509642550055
ENSMUSG00000001420,8.745854317651395,58.426483233018054
ENSMUSG00000001424,86.45129590959341,82.14592801867092
ENSMUSG00000001435,91.78847807394669,48.3540105638128
ENSMUSG00000001436,36.91806903328829,51.73811571060066
ENSMUSG00000001440,85.03869303525366,86.58641444539983
ENSMUSG00000001441,76.98071489988945,86.16877533472547
ENSMUSG00000001445,66.98194325021495,91.41997297629284
ENSMUSG00000001467,82.60655939073824,96.00171969045573
ENSMUSG00000001472,93.50816852966466,94.62596732588135
ENSMUSG00000001473,95.49195430536788,85.54845842034148
ENSMUSG00000001482,58.43262498464562,0.0
ENSMUSG00000001493,25.77693158088687,0.0
ENSMUSG00000001496,10.926176145436678,0.0
ENSMUSG00000001497,3.445522663063506,71.24431887974451
ENSMUSG00000001504,25.08905539859968,0.0
ENSMUSG00000001506,99.9324407320968,79.41284854440487
ENSMUSG00000001510,36.11964132170495,0.0
ENSMUSG00000001518,58.23608893256357,71.54526470949514
ENSMUSG00000001520,21.938336813659255,0.0
ENSMUSG00000001521,64.56823486058224,85.11239405478442
ENSMUSG00000001524,49.404250092126276,58.83183884043729
ENSMUSG00000001525,98.72865741309421,99.30598206608525
ENSMUSG00000001542,58.87483110183024,84.92199975432993
ENSMUSG00000001552,86.18720058960815,77.1772509519715
ENSMUSG00000001555,89.23965114850756,66.07910576096303
ENSMUSG00000001569,73.00085984522786,75.19346517626828
ENSMUSG00000001576,93.7231298366294,70.67313597838103
ENSMUSG00000001583,18.265569340375876,0.0
ENSMUSG00000001604,47.211644761085864,21.25660238299963
ENSMUSG00000001622,89.57744748802358,18.97801252917332
ENSMUSG00000001627,97.81353642058716,98.99275273307947
ENSMUSG00000001630,49.70519592187692,59.93735413339885
ENSMUSG00000001632,88.09728534578062,87.00405355607418
ENSMUSG00000001642,85.80641198869917,71.5022724481022
ENSMUSG00000001655,4.004422061171846,65.04729148753225
ENSMUSG00000001656,4.42206117184621,0.0
ENSMUSG00000001657,62.36334602628669,0.0
ENSMUSG00000001661,46.52991033042624,52.62866969659748
ENSMUSG00000001663,82.25033779633951,0.0
ENSMUSG00000001665,67.31359783810342,71.82164353273554
ENSMUSG00000001666,39.43618720058961,69.856283011915
ENSMUSG00000001674,62.15452647094951,48.397002825205746
ENSMUSG00000001687,93.75383859476723,83.67522417393441
ENSMUSG00000001700,65.26225279449699,52.00221103058592
ENSMUSG00000001707,50.46677312369488,0.0
ENSMUSG00000001729,79.8182041518241,35.70814396265815
ENSMUSG00000001739,53.592924702125046,77.44748802358433
ENSMUSG00000001741,43.20108094828645,32.17663677680875
ENSMUSG00000001750,92.00343938091143,80.61663186340743
ENSMUSG00000001751,62.97137943741555,60.23215821152193
ENSMUSG00000001755,29.087335708143964,94.4969905417025
ENSMUSG00000001761,73.51676698194325,51.7319739589731
ENSMUSG00000001763,21.03549932440732,25.948900626458666
ENSMUSG00000001767,63.84350816852966,36.62326495516521
ENSMUSG00000001768,72.17786512713425,83.03034025304017
ENSMUSG00000001773,60.16459894361872,0.0
ENSMUSG00000001774,88.92642181550178,72.29455840805798
ENSMUSG00000001783,78.5837120746837,89.82925930475372
ENSMUSG00000001785,41.290996192113994,79.67080211276256
ENSMUSG00000001786,46.24124800393072,68.84903574499447
ENSMUSG00000001794,93.37304999385825,40.89792408794988
ENSMUSG00000001802,65.0534332391598,0.0
ENSMUSG00000001829,62.467755803955285,89.58973099127871
ENSMUSG00000001833,97.85652868198011,94.1714777054416
ENSMUSG00000001844,28.65741309421447,58.67215329812062
ENSMUSG00000001847,98.14519100847562,97.42046431642304
ENSMUSG00000001855,77.02984891290996,47.21778651271343
ENSMUSG00000001864,94.63825082913647,0.0
ENSMUSG00000001870,97.082667976907,65.1578430168284
ENSMUSG00000001891,92.93698562830119,97.43274781967817
ENSMUSG00000001909,70.70998648814641,27.969536911927285
ENSMUSG00000001910,54.88883429554109,31.150964255005526
ENSMUSG00000001911,96.59132784670189,61.82287188306105
ENSMUSG00000001918,96.6404618597224,98.99889448470704
ENSMUSG00000001924,96.27195676206854,97.60471686524997
ENSMUSG00000001930,35.89853826311264,46.437784056012774
ENSMUSG00000001942,77.81599312123818,28.54071981329075
ENSMUSG00000001948,11.865864144454,35.70814396265815
ENSMUSG00000001962,75.43299348974327,66.17123203537649
ENSMUSG00000001964,56.9094705810097,26.698194325021497
ENSMUSG00000001983,13.55484584203415,53.070875813782095
ENSMUSG00000001985,33.50325512836261,30.389387053187566
ENSMUSG00000001986,31.163247758260653,28.82938213978627
ENSMUSG00000001995,9.028374892519347,51.67669819432502
ENSMUSG00000001998,73.5413339884535,50.11055152929615
ENSMUSG00000001999,38.521066208082544,72.6016459894362
ENSMUSG00000002006,32.422306841911315,0.0
ENSMUSG00000002010,76.68591082176637,93.6371453138435
ENSMUSG00000002014,82.21962903820169,75.21189043115096
ENSMUSG00000002015,93.06596241248005,94.29431273799288
ENSMUSG00000002017,65.67375015354379,49.95086598697949
ENSMUSG00000002020,10.539245792900136,85.29664660361135
ENSMUSG00000002028,92.26139294926912,61.3008229947181
ENSMUSG00000002031,63.39516029971748,88.58248372435818
ENSMUSG00000002032,11.951848667239897,19.309667117061785
ENSMUSG00000002033,5.859231052696229,34.307824591573514
