gen_name,mesenchymal stem cell of adipose
ENSMUSG00000001018,92.10705596107056
ENSMUSG00000001020,69.95620437956205
ENSMUSG00000001021,26.793187347931873
ENSMUSG00000001025,99.55717761557177
ENSMUSG00000001034,68.75912408759123
ENSMUSG00000001036,81.88807785888078
ENSMUSG00000001039,62.68613138686131
ENSMUSG00000001052,79.75669099756692
ENSMUSG00000001053,27.625304136253042
ENSMUSG00000001054,67.80048661800487
ENSMUSG00000001056,70.37469586374696
ENSMUSG00000001062,60.98783454987835
ENSMUSG00000001065,60.895377128953776
ENSMUSG00000001082,68.90997566909975
ENSMUSG00000001089,84.23844282238443
ENSMUSG00000001098,73.97080291970804
ENSMUSG00000001100,71.88807785888078
ENSMUSG00000001105,86.01459854014598
ENSMUSG00000001119,99.49878345498784
ENSMUSG00000001120,44.14111922141119
ENSMUSG00000001123,98.03406326034063
ENSMUSG00000001127,90.10705596107056
ENSMUSG00000001128,44.57420924574209
ENSMUSG00000001131,76.04866180048661
ENSMUSG00000001134,57.416058394160586
ENSMUSG00000001138,74.07785888077859
ENSMUSG00000001143,68.64233576642336
ENSMUSG00000001150,67.37226277372262
ENSMUSG00000001151,68.90024330900243
ENSMUSG00000001155,40.75425790754258
ENSMUSG00000001156,57.70802919708029
ENSMUSG00000001157,66.34063260340632
ENSMUSG00000001158,78.13138686131387
ENSMUSG00000001166,35.92700729927007
ENSMUSG00000001173,79.75182481751824
ENSMUSG00000001175,98.69586374695864
ENSMUSG00000001211,70.18491484184915
ENSMUSG00000001225,45.99513381995134
ENSMUSG00000001227,31.172749391727493
ENSMUSG00000001228,53.4257907542579
ENSMUSG00000001229,70.01946472019465
ENSMUSG00000001240,87.22141119221412
ENSMUSG00000001247,20.642335766423358
ENSMUSG00000001248,70.55474452554745
ENSMUSG00000001249,33.06082725060827
ENSMUSG00000001260,23.576642335766422
ENSMUSG00000001270,91.8734793187348
ENSMUSG00000001280,94.12165450121654
ENSMUSG00000001281,43.406326034063255
ENSMUSG00000001285,74.01946472019465
ENSMUSG00000001288,67.63990267639902
ENSMUSG00000001289,95.0316301703163
ENSMUSG00000001300,66.08759124087591
ENSMUSG00000001305,68.54501216545013
ENSMUSG00000001313,52.0
ENSMUSG00000001323,72.7396593673966
ENSMUSG00000001333,23.6301703163017
ENSMUSG00000001334,33.69829683698297
ENSMUSG00000001348,58.715328467153284
ENSMUSG00000001366,68.51094890510949
ENSMUSG00000001376,75.50851581508515
ENSMUSG00000001380,81.27007299270073
ENSMUSG00000001383,79.61557177615572
ENSMUSG00000001403,51.688564476885645
ENSMUSG00000001415,56.004866180048666
ENSMUSG00000001416,92.23357664233576
ENSMUSG00000001418,90.07299270072993
ENSMUSG00000001419,78.99270072992701
ENSMUSG00000001420,15.153284671532846
ENSMUSG00000001424,79.53284671532846
ENSMUSG00000001435,92.62287104622871
ENSMUSG00000001436,46.311435523114355
ENSMUSG00000001440,91.25547445255474
ENSMUSG00000001441,89.81021897810218
ENSMUSG00000001445,76.661800486618
ENSMUSG00000001467,72.0243309002433
ENSMUSG00000001472,95.5912408759124
ENSMUSG00000001473,97.0948905109489
ENSMUSG00000001482,56.8905109489051
ENSMUSG00000001493,49.22627737226277
ENSMUSG00000001496,15.5669099756691
ENSMUSG00000001497,25.65450121654501
ENSMUSG00000001504,41.688564476885645
ENSMUSG00000001506,99.95620437956204
ENSMUSG00000001510,42.5985401459854
ENSMUSG00000001517,47.62530413625304
ENSMUSG00000001518,67.70316301703163
ENSMUSG00000001520,44.38929440389294
ENSMUSG00000001521,80.25790754257908
ENSMUSG00000001524,53.4647201946472
ENSMUSG00000001525,98.83698296836982
ENSMUSG00000001542,67.90754257907543
ENSMUSG00000001552,68.74939172749392
ENSMUSG00000001555,90.90997566909975
ENSMUSG00000001569,84.89537712895377
ENSMUSG00000001576,85.32360097323601
ENSMUSG00000001583,36.94890510948905
ENSMUSG00000001588,8.043795620437956
ENSMUSG00000001604,58.997566909975674
ENSMUSG00000001622,27.53771289537713
ENSMUSG00000001627,96.88564476885645
ENSMUSG00000001630,87.65936739659368
ENSMUSG00000001632,67.95133819951337
ENSMUSG00000001642,94.5742092457421
ENSMUSG00000001655,12.46228710462287
ENSMUSG00000001656,32.03406326034063
ENSMUSG00000001657,75.94647201946472
ENSMUSG00000001661,45.15815085158151
ENSMUSG00000001663,95.2992700729927
ENSMUSG00000001665,85.03649635036497
ENSMUSG00000001666,64.88564476885644
ENSMUSG00000001672,6.214111922141119
ENSMUSG00000001674,72.28223844282239
ENSMUSG00000001687,96.53041362530413
ENSMUSG00000001700,70.2287104622871
ENSMUSG00000001707,57.87834549878346
ENSMUSG00000001729,84.15571776155718
ENSMUSG00000001739,62.65693430656935
ENSMUSG00000001741,59.06082725060827
ENSMUSG00000001750,68.1654501216545
ENSMUSG00000001751,72.64720194647202
ENSMUSG00000001755,60.17031630170317
ENSMUSG00000001761,86.11192214111922
ENSMUSG00000001763,42.32116788321168
ENSMUSG00000001767,71.91727493917274
ENSMUSG00000001768,94.19951338199513
ENSMUSG00000001773,50.496350364963504
ENSMUSG00000001774,86.08759124087591
ENSMUSG00000001783,88.41362530413626
ENSMUSG00000001785,73.24574209245742
ENSMUSG00000001786,58.36982968369829
ENSMUSG00000001794,97.06569343065694
ENSMUSG00000001802,78.18491484184915
ENSMUSG00000001827,2.6423357664233578
ENSMUSG00000001829,77.00729927007299
ENSMUSG00000001833,98.89537712895378
ENSMUSG00000001844,76.62773722627738
ENSMUSG00000001847,96.3698296836983
ENSMUSG00000001855,76.89537712895377
ENSMUSG00000001864,83.93187347931872
ENSMUSG00000001870,97.27007299270073
ENSMUSG00000001891,93.18248175182482
ENSMUSG00000001909,73.75182481751825
ENSMUSG00000001910,40.82238442822385
ENSMUSG00000001911,94.41362530413625
ENSMUSG00000001918,95.36253041362531
ENSMUSG00000001924,94.58394160583941
ENSMUSG00000001930,35.09002433090024
ENSMUSG00000001942,81.97566909975669
ENSMUSG00000001948,40.90510948905109
ENSMUSG00000001962,76.50121654501217
ENSMUSG00000001964,52.82238442822384
ENSMUSG00000001983,42.627737226277375
ENSMUSG00000001985,32.67153284671533
ENSMUSG00000001986,73.86861313868613
ENSMUSG00000001995,43.17274939172749
ENSMUSG00000001998,71.42579075425792
ENSMUSG00000001999,71.67883211678831
ENSMUSG00000002006,29.250608272506085
ENSMUSG00000002010,91.06569343065694
ENSMUSG00000002012,43.30900243309003
ENSMUSG00000002014,92.9051094890511
ENSMUSG00000002015,96.75425790754258
ENSMUSG00000002017,60.29197080291971
ENSMUSG00000002020,27.771289537712896
ENSMUSG00000002028,90.60340632603406
ENSMUSG00000002031,89.92214111922141
ENSMUSG00000002032,27.96593673965937
ENSMUSG00000002033,23.805352798053526
ENSMUSG00000002043,60.082725060827244
ENSMUSG00000002052,83.58637469586375
ENSMUSG00000002055,27.299270072992698
ENSMUSG00000002057,22.024330900243307
ENSMUSG00000002058,28.311435523114355
