gen_name,"CD8-positive, alpha-beta T cell"
ENSG00000006282,76.85355175822623
ENSG00000006283,5.204067222143765
ENSG00000006377,4.49089111707386
ENSG00000006432,29.826295720943367
ENSG00000006451,77.38313797486231
ENSG00000006453,10.252789154074284
ENSG00000006459,64.59539613049004
ENSG00000006530,79.15548651320435
ENSG00000006534,12.053382290636916
ENSG00000006555,52.28781245586781
ENSG00000006576,70.717412794803
ENSG00000006607,37.21225815562774
ENSG00000006625,61.00833215647508
ENSG00000006634,84.31718683801724
ENSG00000006638,48.29826295720943
ENSG00000006652,80.96314079932213
ENSG00000006695,84.5502047733371
ENSG00000006704,9.313656263239656
ENSG00000006712,74.49512780680695
ENSG00000006715,58.346278774184434
ENSG00000006740,10.888292614037564
ENSG00000006744,80.58183872334416
ENSG00000006747,36.569693546109306
ENSG00000006756,21.501200395424373
ENSG00000006757,42.91060584663183
ENSG00000006831,47.36619121592995
ENSG00000006837,35.687049851715855
ENSG00000007047,27.369015675752014
ENSG00000007080,90.41802005366473
ENSG00000007129,58.38158452196017
ENSG00000007168,74.45982205903121
ENSG00000007174,12.91484253636492
ENSG00000007202,35.524643411947466
ENSG00000007237,47.23202937438215
ENSG00000007255,92.76938285552887
ENSG00000007264,80.16523089959045
ENSG00000007312,76.23217059737325
ENSG00000007341,34.98799604575625
ENSG00000007372,18.408416890269734
ENSG00000007376,63.027820929247284
ENSG00000007392,86.93687332297698
ENSG00000007402,42.92472814574212
ENSG00000007516,57.52718542578732
ENSG00000007520,51.83589888433837
ENSG00000007541,59.45487925434261
ENSG00000007923,62.89365908769948
ENSG00000007933,3.657675469566445
ENSG00000007944,83.540460386951
ENSG00000007968,45.74212681824601
ENSG00000008018,97.77573789012851
ENSG00000008083,57.68253071600057
ENSG00000008086,30.327637339358848
ENSG00000008128,84.08416890269736
ENSG00000008130,58.692275102386674
ENSG00000008226,44.7747493291908
ENSG00000008282,82.22708656969354
ENSG00000008283,70.44908911170738
ENSG00000008294,63.74805818387234
ENSG00000008311,6.319728851857083
ENSG00000008323,16.339500070611496
ENSG00000008324,81.9658240361531
ENSG00000008382,35.74353904815704
ENSG00000008394,24.043214235277503
ENSG00000008405,83.34980934896201
ENSG00000008513,85.03036294308714
ENSG00000008516,76.55698347691005
ENSG00000008517,99.60457562491175
ENSG00000008710,19.601751165089677
ENSG00000008735,28.27990396836605
ENSG00000008838,64.1293602598503
ENSG00000008853,58.52280751306312
ENSG00000008869,95.4879254342607
ENSG00000008952,89.76133314503602
ENSG00000008988,98.84197147295579
ENSG00000009307,93.20717412794804
ENSG00000009335,37.078096314079936
ENSG00000009413,61.3684507837876
ENSG00000009694,12.582968507272984
ENSG00000009724,8.183872334416042
ENSG00000009765,18.88857506001977
ENSG00000009780,31.633950007061152
ENSG00000009790,97.72630984324248
ENSG00000009830,29.86160146871911
ENSG00000009844,90.24149131478605
ENSG00000009950,15.873464199971753
ENSG00000009954,82.02937438214941
ENSG00000010017,67.67405733653439
