gen_name,hematopoietic multipotent progenitor cell,long term hematopoietic stem cell,short term hematopoietic stem cell
ENSMUSG00000042133,90.60275442675729,91.39331067787516,89.61187622965481
ENSMUSG00000042138,62.954748703273125,63.77392237524593,67.3403684492935
ENSMUSG00000042148,79.96065104632444,78.07547844750492,81.88159542121267
ENSMUSG00000042155,71.91557860847792,74.43748882131997,66.96118762296548
ENSMUSG00000042156,60.4829189769272,58.565551779645865,64.54659273832945
ENSMUSG00000042165,54.813092470041134,53.28921480951529,55.89340010731533
ENSMUSG00000042167,92.58808799856912,91.60078697907352,92.80271865498122
ENSMUSG00000042178,91.45769987479878,89.34358790913969,89.57252727597925
ENSMUSG00000042182,54.11196565909498,56.741191200143085,56.42639957073868
ENSMUSG00000042185,81.28062958325881,83.65945269182615,87.75532105169022
ENSMUSG00000042189,15.53568234662851,0.0,13.55034877481667
ENSMUSG00000042190,38.694330173493114,46.98265068860669,45.82006796637453
ENSMUSG00000042195,69.49025219102128,68.25970309425863,71.76891432659632
ENSMUSG00000042197,89.56895009837238,89.42944017170453,91.9048470756573
ENSMUSG00000042198,85.79502772312645,94.12269719191558,91.24664639599357
ENSMUSG00000042202,88.21677696297621,87.32605973886604,88.25612591665177
ENSMUSG00000042203,62.55768198891075,59.79610087640851,60.63673761402254
ENSMUSG00000042207,93.9080665355035,93.73278483276695,96.50867465569665
ENSMUSG00000042208,71.40404221069576,67.64085136827043,69.2863530674298
ENSMUSG00000042210,83.99570738687176,81.44875693078161,78.7408334823824
ENSMUSG00000042211,91.668753353604,92.13020926489001,93.25702021105347
ENSMUSG00000042212,12.344839921302093,37.785727061348595,0.0
ENSMUSG00000042213,68.89644070828118,61.727776784117324,68.48506528349132
ENSMUSG00000042215,81.61330710069755,76.50152030048292,73.63977821498837
ENSMUSG00000042216,69.09676265426579,67.02199964228224,74.7844750491862
ENSMUSG00000042219,4.296190305848686,37.97174029690574,26.277946700053654
ENSMUSG00000042225,59.788946521194774,59.26667859059202,57.95743158647827
ENSMUSG00000042228,95.07064925773565,90.84242532641746,93.24986585583974
ENSMUSG00000042229,86.39241638347343,87.3403684492935,84.68252548739045
ENSMUSG00000042243,5.072437846539081,11.264532284027903,16.816311929887316
ENSMUSG00000042244,0.0,39.044893578966196,24.879270255768198
ENSMUSG00000042246,43.187265247719544,41.32713289214809,42.11053478805223
ENSMUSG00000042248,35.21015918440351,11.400465033088892,0.0
ENSMUSG00000042249,82.72938651404043,81.14111965659096,85.37649794312287
ENSMUSG00000042251,49.86227866213557,50.75657306385261,49.654802360937225
ENSMUSG00000042254,25.39438383115722,31.80110892505813,7.816133071006975
ENSMUSG00000042256,18.70148452870685,21.82793775710964,38.65140404221069
ENSMUSG00000042258,39.542121266320876,57.19549275621535,38.426041852978
ENSMUSG00000042262,16.59810409586836,0.0,6.735825433732785
ENSMUSG00000042265,64.77553210516902,22.106957610445356,45.84510820962261
ENSMUSG00000042268,56.80558039706671,60.21463065641209,56.28331246646396
ENSMUSG00000042269,11.81899481309247,18.1112502235736,5.490967626542658
ENSMUSG00000042271,65.2047934179932,61.66338758719371,68.30978358075478
ENSMUSG00000042272,82.24646753711322,76.07941334287247,82.85816490788768
ENSMUSG00000042275,49.171883384010016,44.61455911285995,53.0066177785727
ENSMUSG00000042279,20.23967089966017,23.294580575925593,0.0
ENSMUSG00000042282,19.213020926489,29.783580754784477,15.943480593811483
ENSMUSG00000042284,53.32498658558398,58.7301019495618,47.82328742622071
ENSMUSG00000042286,63.752459309604724,69.48309783580756,65.79145054551958
ENSMUSG00000042289,91.61509568950098,95.73600429261313,94.9633339295296
ENSMUSG00000042292,85.06886066893222,80.36844929350742,84.42854587730281
ENSMUSG00000042293,60.54730817385084,58.336612412806296,58.92684671793954
ENSMUSG00000042298,68.82847433375066,71.94419602933286,73.03523519942765
ENSMUSG00000042302,56.340547308173846,60.68324092291182,61.42013950992666
ENSMUSG00000042303,69.28993024503667,75.0992666785906,69.5009837238419
ENSMUSG00000042305,89.37220532999464,85.52673940261134,89.32927919871221
