gen_name,classical monocyte,lung macrophage
ENSMUSG00000000724,2.0625782227784732,13.4918648310388
ENSMUSG00000000730,32.30037546933667,22.29787234042553
ENSMUSG00000000732,45.812265331664584,74.88861076345432
ENSMUSG00000000738,72.41551939924906,74.08260325406758
ENSMUSG00000000739,71.86983729662077,75.42428035043804
ENSMUSG00000000740,99.81476846057572,99.75969962453067
ENSMUSG00000000743,82.34292866082603,85.16645807259073
ENSMUSG00000000751,60.78097622027534,62.22778473091364
ENSMUSG00000000753,90.99874843554443,87.77972465581978
ENSMUSG00000000759,59.48936170212767,59.37421777221527
ENSMUSG00000000776,65.18648310387985,72.84605757196496
ENSMUSG00000000782,51.78473091364205,36.005006257822274
ENSMUSG00000000787,97.20150187734669,97.2665832290363
ENSMUSG00000000791,0.0,21.08635794743429
ENSMUSG00000000792,6.292866082603254,9.316645807259073
ENSMUSG00000000794,27.489361702127656,42.36795994993742
ENSMUSG00000000804,69.24655819774719,66.34292866082603
ENSMUSG00000000805,97.8072590738423,80.6558197747184
ENSMUSG00000000811,49.87234042553192,43.74968710888611
ENSMUSG00000000817,3.058823529411765,13.51188986232791
ENSMUSG00000000823,40.31539424280351,40.62578222778473
ENSMUSG00000000826,85.85231539424281,86.47309136420526
ENSMUSG00000000827,87.45431789737171,83.92991239048811
ENSMUSG00000000838,79.23404255319149,76.1602002503129
ENSMUSG00000000861,36.94618272841051,32.21526908635794
ENSMUSG00000000869,16.675844806007508,29.69712140175219
ENSMUSG00000000876,79.06883604505633,85.32665832290363
ENSMUSG00000000881,37.356695869837296,28.640801001251564
ENSMUSG00000000884,32.981226533166456,29.83229036295369
ENSMUSG00000000901,49.18648310387985,29.266583229036296
ENSMUSG00000000902,84.56070087609511,82.6433041301627
ENSMUSG00000000903,74.30788485607009,34.22277847309137
ENSMUSG00000000915,64.40050062578223,55.30413016270338
ENSMUSG00000000916,42.988735919899874,49.97747183979975
ENSMUSG00000000934,35.93992490613267,40.89111389236545
ENSMUSG00000000942,34.33792240300376,10.222778473091363
ENSMUSG00000000948,53.98247809762202,69.66708385481853
ENSMUSG00000000957,73.83229036295369,86.55819774718398
ENSMUSG00000000958,65.29662077596996,77.4668335419274
ENSMUSG00000000959,77.35168961201502,78.36795994993743
ENSMUSG00000000976,65.72215269086358,76.34543178973718
ENSMUSG00000000982,59.16896120150188,99.26408010012516
ENSMUSG00000000983,27.083854818523157,55.374217772215275
ENSMUSG00000001014,39.30413016270337,35.609511889862326
ENSMUSG00000001016,99.96996245306633,99.94993742177722
ENSMUSG00000001017,86.92365456821027,88.35544430538172
ENSMUSG00000001018,83.23904881101377,82.47809762202753
ENSMUSG00000001020,98.01752190237796,97.12640801001251
ENSMUSG00000001021,14.07259073842303,11.709637046307884
ENSMUSG00000001025,99.2991239048811,98.50312891113893
ENSMUSG00000001029,98.44305381727159,66.48811013767208
ENSMUSG00000001034,56.48560700876095,59.11389236545682
ENSMUSG00000001036,75.56445556946183,50.533166458072586
ENSMUSG00000001039,65.14142678347935,31.849812265331668
ENSMUSG00000001052,73.05131414267835,75.09887359198999
ENSMUSG00000001053,78.20275344180226,48.010012515644554
ENSMUSG00000001054,69.2415519399249,54.98873591989988
ENSMUSG00000001056,84.3153942428035,90.98873591989988
ENSMUSG00000001062,59.804755944931166,74.96370463078848
ENSMUSG00000001065,46.077596996245305,49.11639549436796
ENSMUSG00000001082,71.55444305381728,83.459324155194
ENSMUSG00000001089,90.4831038798498,83.67959949937422
ENSMUSG00000001095,11.424280350438048,32.4755944931164
ENSMUSG00000001098,93.29161451814768,69.89737171464331
ENSMUSG00000001100,75.85481852315394,69.79224030037547
ENSMUSG00000001105,94.43304130162703,87.88986232790988
ENSMUSG00000001119,90.5081351689612,47.74468085106383
ENSMUSG00000001120,68.16520650813517,36.84105131414268
ENSMUSG00000001123,92.46057571964957,83.99499374217773
ENSMUSG00000001127,83.1389236545682,86.60826032540676
ENSMUSG00000001128,79.4342928660826,96.90112640801001
ENSMUSG00000001131,72.53566958698373,61.50688360450564
