gen_name,adipose tissue derived mesenchymal stem cell
ENSMUSG00000000531,71.61553701146664
ENSMUSG00000000532,38.5783754577655
ENSMUSG00000000538,52.68655820375818
ENSMUSG00000000552,84.79918352644535
ENSMUSG00000000555,64.51341778231374
ENSMUSG00000000560,33.175241640151285
ENSMUSG00000000561,59.92075403734166
ENSMUSG00000000563,96.78213363750976
ENSMUSG00000000567,46.45494386744311
ENSMUSG00000000568,85.50159092273518
ENSMUSG00000000579,91.5951251726001
ENSMUSG00000000581,90.05223029357026
ENSMUSG00000000594,82.95611454643694
ENSMUSG00000000600,92.36357087110524
ENSMUSG00000000605,87.05649276580417
ENSMUSG00000000628,85.24344119589362
ENSMUSG00000000631,39.2087410698205
ENSMUSG00000000682,19.217145944647896
ENSMUSG00000000686,20.922134838206162
ENSMUSG00000000690,33.01915110764243
ENSMUSG00000000693,74.18502731584319
ENSMUSG00000000708,80.13447799723839
ENSMUSG00000000711,73.03836225010507
ENSMUSG00000000730,37.8459506513778
ENSMUSG00000000732,23.869844509815692
ENSMUSG00000000738,65.3418983010146
ENSMUSG00000000739,90.75463768986012
ENSMUSG00000000740,99.915951251726
ENSMUSG00000000743,82.33175241640151
ENSMUSG00000000751,56.360689199735845
ENSMUSG00000000753,99.23155430149487
ENSMUSG00000000759,49.906946028696645
ENSMUSG00000000776,75.75793960497089
ENSMUSG00000000782,10.662184066758721
ENSMUSG00000000787,95.08314822597106
ENSMUSG00000000792,18.38866542594705
ENSMUSG00000000794,46.11274539232755
ENSMUSG00000000804,55.11796842168458
ENSMUSG00000000805,26.241219907546377
ENSMUSG00000000811,42.86486161973945
ENSMUSG00000000823,55.38812511256529
ENSMUSG00000000826,82.09161313561866
ENSMUSG00000000827,91.45704508614998
ENSMUSG00000000838,76.74251065618058
ENSMUSG00000000876,79.03584078765684
ENSMUSG00000000881,30.77985231434232
ENSMUSG00000000884,31.824458185747734
ENSMUSG00000000901,55.79636188989614
ENSMUSG00000000902,86.55220027616018
ENSMUSG00000000915,27.399891937323652
ENSMUSG00000000916,41.87428708651018
ENSMUSG00000000934,32.13663925076544
ENSMUSG00000000938,61.0854295491385
ENSMUSG00000000942,21.690580536711295
ENSMUSG00000000948,17.602209281383203
ENSMUSG00000000957,97.11832863060576
ENSMUSG00000000958,45.15218826919614
ENSMUSG00000000959,78.38746472954313
ENSMUSG00000000976,68.97400492285526
ENSMUSG00000000983,32.004562646334875
ENSMUSG00000001014,17.127934201837068
ENSMUSG00000001016,99.663805006904
ENSMUSG00000001017,85.45356306657862
ENSMUSG00000001018,85.25544815993275
ENSMUSG00000001020,84.03674130995978
ENSMUSG00000001021,16.719697424506215
ENSMUSG00000001023,17.488143123011348
ENSMUSG00000001025,99.90994776970643
ENSMUSG00000001034,58.239779071861676
ENSMUSG00000001036,72.3599687818935
ENSMUSG00000001039,71.32736987452722
ENSMUSG00000001052,69.6343879450081
ENSMUSG00000001053,15.380920934141804
ENSMUSG00000001054,64.9216545596446
ENSMUSG00000001056,86.04190430449661
ENSMUSG00000001062,60.38302215284865
ENSMUSG00000001065,41.07582397790719
ENSMUSG00000001082,74.37113525844991
