gen_name,basophil mast progenitor cell,granulocyte monocyte progenitor cell
ENSMUSG00000000384,78.34028944658246,85.65233888015611
ENSMUSG00000000386,53.43921079733319,38.59829801073229
ENSMUSG00000000392,27.51910672665185,23.876632879830886
ENSMUSG00000000399,84.8663884221367,94.1568648707247
ENSMUSG00000000402,27.21556723941677,26.722315572659767
ENSMUSG00000000409,57.52615317903409,45.633909697002544
ENSMUSG00000000420,95.07290368041629,93.65277250799501
ENSMUSG00000000439,68.88720255840425,68.45357471949698
ENSMUSG00000000441,95.0078595045802,85.31085695701664
ENSMUSG00000000486,77.744051168085,59.580465065857226
ENSMUSG00000000530,0.0,41.65537427502846
ENSMUSG00000000531,43.10260718738143,19.453628922976854
ENSMUSG00000000532,57.916418234050624,67.21773537861131
ENSMUSG00000000538,77.46219307279527,47.04320017345113
ENSMUSG00000000552,29.24819773429454,41.95891376226354
ENSMUSG00000000555,71.65158003143802,62.91397907745677
ENSMUSG00000000560,42.51720960485663,43.11344788335411
ENSMUSG00000000561,89.69591847796629,95.15420890021139
ENSMUSG00000000562,57.04374220824977,36.95593257087105
ENSMUSG00000000563,98.86714727085479,98.88882866280015
ENSMUSG00000000567,13.11724212694455,6.9759878584205115
ENSMUSG00000000568,84.70919833053281,89.59293186622581
ENSMUSG00000000579,66.38842213670118,63.55358013984498
ENSMUSG00000000581,88.92622906390591,94.44414331400075
ENSMUSG00000000594,98.23296655645292,97.8318608054637
ENSMUSG00000000600,96.086508753862,88.98043254376931
ENSMUSG00000000605,93.33839232478725,88.96959184779662
ENSMUSG00000000606,32.97197680091062,29.242777386308198
ENSMUSG00000000627,28.337579272589302,9.474768280123584
ENSMUSG00000000628,51.88899127323974,72.1014689143043
ENSMUSG00000000631,81.42446745081034,72.43211014147109
ENSMUSG00000000632,22.966014418125642,22.830505718467126
ENSMUSG00000000673,64.40457477370047,75.05013821887366
ENSMUSG00000000682,55.80248251937774,76.20467233996423
ENSMUSG00000000686,95.15962924819773,76.04206190037401
ENSMUSG00000000693,39.1457531573527,40.560463981787635
ENSMUSG00000000706,18.082280882432652,16.293566046940214
ENSMUSG00000000708,72.37248631362134,55.932570871049926
ENSMUSG00000000711,92.37899073120495,75.04471787088731
ENSMUSG00000000724,26.86324462030462,18.196108190145807
ENSMUSG00000000731,21.226082714510273,16.748875277792834
ENSMUSG00000000732,23.741124180172367,36.55482681988184
ENSMUSG00000000738,67.68930565342295,79.11539920862919
ENSMUSG00000000739,43.92107973331888,43.3248414548214
