gen_name,neural crest cell
ENSGALG00000000549,24.601632335794793
ENSGALG00000000550,94.37751004016064
ENSGALG00000000551,65.41650472859179
ENSGALG00000000556,3.297059204560176
ENSGALG00000000557,25.553828216090167
ENSGALG00000000558,27.620158051561084
ENSGALG00000000560,5.544759683896878
ENSGALG00000000564,90.45213110506542
ENSGALG00000000568,12.896748283456406
ENSGALG00000000573,54.36585049876928
ENSGALG00000000576,47.81707475061536
ENSGALG00000000577,94.7272962819018
ENSGALG00000000579,69.32892861769659
ENSGALG00000000581,86.35185904909962
ENSGALG00000000583,28.57235393185646
ENSGALG00000000584,39.79142375955435
ENSGALG00000000585,90.36792330612774
ENSGALG00000000589,5.842725741676383
ENSGALG00000000593,0.18137064386578572
ENSGALG00000000596,88.50239668350822
ENSGALG00000000599,27.99585438528307
