gen_name,cardiac non-myocyte and cardiomyocyte
ENSMUSG00000003573,71.3848472006404
ENSMUSG00000003575,50.81697038188068
ENSMUSG00000003581,82.83185007298583
ENSMUSG00000003585,34.303338512972644
ENSMUSG00000003604,52.964166313509445
ENSMUSG00000003617,95.74327824080613
ENSMUSG00000003623,80.18081649950558
ENSMUSG00000003644,55.37034421057589
ENSMUSG00000003660,79.69110514667797
ENSMUSG00000003662,76.4844375382587
ENSMUSG00000003665,56.46277722842209
ENSMUSG00000003680,46.15529500400245
ENSMUSG00000003721,88.23280124311343
ENSMUSG00000003731,61.53882375100061
ENSMUSG00000003746,89.19809765974479
ENSMUSG00000003752,47.58675895842162
ENSMUSG00000003762,61.07265621321278
ENSMUSG00000003778,83.36394029288506
ENSMUSG00000003779,35.6359184442247
ENSMUSG00000003808,79.63930875359043
ENSMUSG00000003809,63.30931864199275
ENSMUSG00000003810,66.78438574186562
ENSMUSG00000003812,70.41955078400905
ENSMUSG00000003813,88.40231671139992
ENSMUSG00000003814,99.0629561614164
ENSMUSG00000003824,45.49606818288836
ENSMUSG00000003847,90.58718274709234
ENSMUSG00000003848,74.79399161840185
ENSMUSG00000003849,43.16523049394924
ENSMUSG00000003863,12.958515797899892
ENSMUSG00000003865,45.45368931581674
ENSMUSG00000003868,76.67749682158497
ENSMUSG00000003872,28.078353816452417
ENSMUSG00000003873,95.86099731600508
ENSMUSG00000003882,46.84277440316429
ENSMUSG00000003923,72.91519517822668
ENSMUSG00000003929,49.76220746809813
ENSMUSG00000003934,32.93779724066488
ENSMUSG00000003948,69.49192447144135
ENSMUSG00000003949,53.406790036257476
ENSMUSG00000003955,91.2840796722701
ENSMUSG00000003970,99.50557988416443
ENSMUSG00000003992,88.64717238781373
ENSMUSG00000004018,49.79046004614588
ENSMUSG00000004031,29.090737863163348
ENSMUSG00000004032,91.33116730234967
ENSMUSG00000004035,42.72260677120121
ENSMUSG00000004038,18.886848424918774
ENSMUSG00000004040,91.0156801808165
ENSMUSG00000004043,53.86354004802938
ENSMUSG00000004044,97.08527569807411
ENSMUSG00000004054,67.66963318736168
ENSMUSG00000004056,81.23087065028017
ENSMUSG00000004069,77.3555586947309
ENSMUSG00000004070,88.10095587889062
ENSMUSG00000004071,82.18204077788765
ENSMUSG00000004085,73.40019776804634
ENSMUSG00000004096,91.90563638932052
ENSMUSG00000004098,89.87145076988276
ENSMUSG00000004099,56.05311484672977
ENSMUSG00000004100,71.97815133964308
ENSMUSG00000004105,93.304139002684
ENSMUSG00000004110,44.74266610161511
ENSMUSG00000004113,13.203371474313697
ENSMUSG00000004127,50.89701935301596
ENSMUSG00000004151,80.48217733201488
ENSMUSG00000004187,41.535998493195834
ENSMUSG00000004207,99.3643169939257
ENSMUSG00000004221,54.21669727362621
ENSMUSG00000004233,50.016480670527855
ENSMUSG00000004263,63.27164853792908
ENSMUSG00000004264,93.41714931487498
ENSMUSG00000004266,82.48340161039694
ENSMUSG00000004267,39.713707209116166
ENSMUSG00000004268,94.29297923435513
ENSMUSG00000004270,75.06239110985544
ENSMUSG00000004285,96.92517775580355
ENSMUSG00000004296,17.08339219287093
ENSMUSG00000004317,50.31784150303715
ENSMUSG00000004319,80.24673918161699
ENSMUSG00000004328,28.25257804774686
ENSMUSG00000004341,10.999670386589443
ENSMUSG00000004347,38.07976644535481
ENSMUSG00000004356,49.90347035833687
ENSMUSG00000004359,50.04944201158356
ENSMUSG00000004360,47.064086264538304
ENSMUSG00000004364,71.21533173235392
ENSMUSG00000004371,34.97198286010265
ENSMUSG00000004383,70.89513584781278
ENSMUSG00000004393,71.10232142016292
ENSMUSG00000004394,89.42411828412676
ENSMUSG00000004415,40.14691340584828
ENSMUSG00000004446,46.57437491171069
ENSMUSG00000004451,88.07270330084287
ENSMUSG00000004455,93.40302302585111
ENSMUSG00000004460,95.54080143146395
ENSMUSG00000004462,57.621132928379716
ENSMUSG00000004473,69.33182652917078
ENSMUSG00000004500,42.03041860903141
ENSMUSG00000004508,75.5803550407308
ENSMUSG00000004530,89.2969816829119
ENSMUSG00000004535,94.20351273720394
ENSMUSG00000004540,12.445260630032491
ENSMUSG00000004552,22.55026604510995
ENSMUSG00000004558,94.86273955831803
ENSMUSG00000004561,66.93035739511231
ENSMUSG00000004562,92.31529877101285
ENSMUSG00000004565,53.199604463907335
ENSMUSG00000004567,58.38395253566888
ENSMUSG00000004568,60.210952582756505
ENSMUSG00000004591,90.33290954466263
ENSMUSG00000004609,67.4671563780195
ENSMUSG00000004610,93.27588642463624
ENSMUSG00000004612,63.80373875782832
ENSMUSG00000004626,82.90248151810519
ENSMUSG00000004630,10.415783773602675
ENSMUSG00000004631,94.40128078353817
ENSMUSG00000004633,57.1879267316476
