gen_name,blastoderm cell,embryonic stem cell,morula cell,oocyte,totipotent stem cell,zygote
ENSG00000196933,22.67863306869175,38.80642810570322,0.0,0.0,0.0,0.0
ENSG00000196935,76.97618225750776,76.3778621562536,83.8376864956085,94.91427913933954,87.00955010930848,94.25842825911863
ENSG00000196937,94.92194990986845,90.19291987880183,75.98281747401526,79.70697656579604,64.56871092701262,76.49675909945154
ENSG00000196943,69.94592106777125,62.83128140221685,67.12691289840065,49.69508687147624,68.89119012004757,53.365550569554706
ENSG00000196944,0.0,0.0,31.668776128562115,75.52640662754574,45.027423004640816,61.00947340160319
ENSG00000196946,17.635101445940244,0.0,77.5399838913819,0.0,84.4321712115982,0.0
ENSG00000196950,82.83665094158708,94.40800828443217,88.90039504468223,95.37836075633798,92.95823265447014,95.95366854600545
ENSG00000196954,33.80892110612511,43.623671997852185,37.48705557473248,41.75967475932957,34.483948912668275,37.352817090476734
ENSG00000196961,74.1610094734016,73.10244314041346,65.68864342423197,57.94883596057224,64.08545238369194,64.91389560081309
ENSG00000196967,74.68645725463122,81.13373988417136,71.79074137997162,88.88888888888889,81.505772254823,82.91719403214053
ENSG00000196968,64.12380623633645,59.10328692517164,65.35880029148929,66.9926744141449,55.582403252406706,61.90695355348444
ENSG00000196970,0.0,0.0,35.297050588731636,0.0,14.823764047098532,0.0
ENSG00000196972,41.00410386223296,48.26065278257201,46.04763548498447,0.0,68.25835155141334,0.0
ENSG00000196975,75.36532044643884,78.04241936102481,68.78379933264296,77.39423925133279,62.294327465193874,69.52402868868178
ENSG00000196976,62.915659878034745,61.31246883749473,29.73190657001496,82.18463544663062,59.425459287385415,64.07011084263414
ENSG00000196981,52.68285199248265,58.48578989759521,65.87274191692556,50.18601618532582,48.40256203735665,62.07954589038469
ENSG00000196990,51.59743796264335,14.298316265868907,35.0170674644268,39.899512906071415,47.113872588501515,51.12568557511602
ENSG00000196993,53.86798603919763,39.28585126375945,79.28508418670656,0.0,46.109001649215664,0.0
ENSG00000196998,85.36800521612395,85.01514977179457,98.77651210064052,61.32781037855253,96.52514095040847,61.25877344379242
ENSG00000197006,91.55448164768151,89.28009818586277,88.5053503624439,98.0669658267173,95.58163617535381,97.85601963717255
ENSG00000197008,73.98841713650135,71.48007517355119,86.26548536800522,68.13561922295095,73.99992329229471,70.07632416676255
ENSG00000197013,64.62624170597937,67.05404057837609,66.38284815709738,54.92655237218579,58.09841598588579,47.5050818854754
ENSG00000197016,67.11924212787174,67.96686227131515,67.74824531124152,65.41249568519157,63.55616921719787,70.17220879837379
ENSG00000197019,70.44835653741418,74.03444175967476,98.95293982280519,46.14352011659571,97.51467034863653,55.98511870517393
ENSG00000197020,70.52506424270318,61.9491427913934,88.45165496874161,58.19430061749703,83.68427108503049,64.9906033061021
ENSG00000197021,81.93150001917692,83.01691404901622,93.96693897902044,84.68530663905189,97.05442411690254,88.21386108234573
ENSG00000197024,76.83810838798757,93.52203428834427,88.21769646761017,66.07985272120584,77.96954704100027,77.70490545775323
ENSG00000197037,68.63038392206498,64.96375560925095,69.06761784221224,75.78721282552833,70.30261189736508,77.15260997967246
ENSG00000197038,0.0,0.0,18.056993825029725,0.0,3.981129904498907,0.0
ENSG00000197043,83.69577724082384,75.78721282552833,46.96429256318797,53.162275150538875,54.86518620795459,61.983661258773445
ENSG00000197044,47.47823418862425,45.2652168910367,48.37187895524105,57.99102519848118,46.67663866835424,59.35642235262533
ENSG00000197045,83.02074943428067,85.55210370881755,83.18183561538757,86.36520538488092,82.14244620872167,86.48793771334331
ENSG00000197046,38.29632186553139,40.54769301576343,44.94687991408737,61.826410462931,48.88965596594178,62.094887431442494
ENSG00000197050,72.11674912744985,69.61224254976412,55.6207571050512,74.88589728838262,66.80474053618686,77.99255935258697
ENSG00000197054,49.88302074943428,54.41644613201396,29.451923445710122,68.53833467571818,56.19606489471868,67.47209757220112
ENSG00000197056,84.33245119472251,75.30778966747211,91.9150078625398,68.73393932420512,74.36044950715299,67.41840217849882
ENSG00000197061,91.48160932765697,85.21842519081042,76.95700533118551,0.0,54.124956851915776,0.0
