gen_name,hematopoietic stem cell and hematopoietic multipotent progenitor cell,long term hematopoietic stem cell,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell"
ENSMUSG00000001435,47.67023688530998,54.7259792041279,48.38167461496365
ENSMUSG00000001436,83.1834883902744,83.25385036353687,87.87819560628567
ENSMUSG00000001440,94.83621296223907,92.8191697287155,96.36463138144008
ENSMUSG00000001441,90.71612852787116,91.16175435853334,86.40059416777422
ENSMUSG00000001444,22.175748573215543,42.127276991634744,15.479634117739035
ENSMUSG00000001445,86.98303494644672,87.21757485732155,87.77265264639199
ENSMUSG00000001467,80.01329059494957,83.83629114220936,72.63310139942148
ENSMUSG00000001472,97.19724806504574,97.4044249863185,96.3177233992651
ENSMUSG00000001473,67.8993041982644,64.78383238214369,63.07560003127198
ENSMUSG00000001482,95.56328668595106,96.37244937846924,92.27581893518881
ENSMUSG00000001496,30.283011492455632,27.335626612461887,22.207020561332186
ENSMUSG00000001497,31.92088187006489,36.17387225392854,51.07888359002424
ENSMUSG00000001506,53.75654757251193,55.050426080838086,54.292080369009454
ENSMUSG00000001507,51.34078649050113,54.22953639277617,40.1649597373153
ENSMUSG00000001508,14.299116566335703,0.0,31.440075052771483
ENSMUSG00000001510,40.645766554608706,44.88312094441404,35.30607458369166
ENSMUSG00000001517,62.37588929716207,56.586662497068254,71.03432100695801
ENSMUSG00000001518,77.20662966148073,80.97881322805097,76.59682589320616
ENSMUSG00000001520,51.74732233601751,52.18513016965054,58.0447189430068
ENSMUSG00000001521,59.21741849738097,57.49355015245094,64.15057462278165
ENSMUSG00000001524,77.38253459463685,75.91275115315457,80.60745836916581
ENSMUSG00000001525,99.64819013368775,99.57391916191072,99.68728011883356
ENSMUSG00000001542,67.5005863497772,75.27167539676334,76.9095457743726
ENSMUSG00000001552,63.599405832225784,67.0158705339692,56.78602142131186
ENSMUSG00000001555,48.24095066843875,51.88804628254241,31.139082167148775
ENSMUSG00000001558,43.28043155343601,43.186615589086074,50.78179970291611
ENSMUSG00000001569,80.0289265890079,83.47275428035339,82.51504964428113
ENSMUSG00000001576,84.72754280353374,86.44359315143461,84.73145180204831
ENSMUSG00000001583,44.39840512860605,50.2619029004769,45.774372605738414
ENSMUSG00000001588,96.41544836212962,92.98725666484246,93.19052458760065
ENSMUSG00000001604,35.23571261042921,39.37925103588461,15.835352982565867
ENSMUSG00000001622,40.118051755140336,36.396685169259634,37.921194589946055
ENSMUSG00000001627,86.14650926432648,90.79430849816276,87.3309358142444
ENSMUSG00000001630,58.5880697365335,63.13032601047611,60.022672191384565
ENSMUSG00000001632,99.58955515596905,99.64037213665858,99.06184035650067
ENSMUSG00000001642,96.73598624032523,96.19263544679853,96.0597294973028
ENSMUSG00000001655,27.89070440153233,26.77663982487687,34.625908842154644
ENSMUSG00000001657,56.25830662184348,83.03494644672035,49.21820029708389
