gen_name,intestinal epithelial cell
ENSMUSG00000002108,57.98180784536668
ENSMUSG00000002109,49.30073905628198
ENSMUSG00000002111,6.594656054576465
ENSMUSG00000002129,81.91586128482092
ENSMUSG00000002147,77.58953951108585
ENSMUSG00000002204,16.634451392836837
ENSMUSG00000002205,81.9044911881751
ENSMUSG00000002210,55.690733371233655
ENSMUSG00000002221,68.16372939169983
ENSMUSG00000002222,78.74360432063673
ENSMUSG00000002227,82.13757816941444
ENSMUSG00000002228,30.38658328595793
ENSMUSG00000002233,84.71859010801592
ENSMUSG00000002249,50.10801591813531
ENSMUSG00000002250,51.95565662308129
ENSMUSG00000002257,21.0062535531552
ENSMUSG00000002265,88.1466742467311
ENSMUSG00000002266,22.200113700966458
ENSMUSG00000002274,36.63445139283684
ENSMUSG00000002279,69.8919840818647
ENSMUSG00000002280,64.35474701534963
ENSMUSG00000002289,50.602615122228535
ENSMUSG00000002297,79.54519613416714
ENSMUSG00000002307,65.11654349061968
ENSMUSG00000002308,73.67254121660034
ENSMUSG00000002319,62.11483797612279
ENSMUSG00000002320,76.06026151222285
ENSMUSG00000002324,45.57134735645253
ENSMUSG00000002325,39.89766913018761
ENSMUSG00000002326,70.2615122228539
ENSMUSG00000002329,89.23820352472997
ENSMUSG00000002332,90.32404775440591
ENSMUSG00000002342,69.65889710062535
ENSMUSG00000002343,55.62819783968164
ENSMUSG00000002345,76.85616827743036
ENSMUSG00000002346,38.658328595793066
ENSMUSG00000002365,84.6560545764639
ENSMUSG00000002372,79.59067652075042
ENSMUSG00000002379,97.85105173393974
ENSMUSG00000002384,12.90505969300739
ENSMUSG00000002393,74.14440022740193
ENSMUSG00000002395,93.41102899374644
ENSMUSG00000002396,50.4263786242183
ENSMUSG00000002409,36.28197839681637
ENSMUSG00000002413,58.58442296759523
ENSMUSG00000002416,97.6634451392837
ENSMUSG00000002428,55.24161455372371
ENSMUSG00000002455,77.25412166003412
ENSMUSG00000002458,48.914155770324044
ENSMUSG00000002475,65.48038658328595
ENSMUSG00000002477,97.71461057418988
ENSMUSG00000002486,40.42637862421831
ENSMUSG00000002489,41.27913587265491
ENSMUSG00000002496,56.4013644115975
ENSMUSG00000002504,30.949403069926095
ENSMUSG00000002524,90.97214326321775
ENSMUSG00000002546,61.620238772029566
ENSMUSG00000002550,77.69755542922114
ENSMUSG00000002565,85.54860716316088
ENSMUSG00000002578,32.95054007959068
ENSMUSG00000002580,97.18590108015917
ENSMUSG00000002602,41.81921546333144
ENSMUSG00000002603,8.300170551449687
ENSMUSG00000002608,54.05343945423537
ENSMUSG00000002617,28.737919272313817
ENSMUSG00000002625,65.44059124502559
ENSMUSG00000002633,43.558840250142126
ENSMUSG00000002635,74.18988061398521
ENSMUSG00000002658,80.32973280272883
ENSMUSG00000002660,92.14326321773734
ENSMUSG00000002661,79.62478681068788
ENSMUSG00000002668,35.14496873223422
ENSMUSG00000002679,78.46503695281409
ENSMUSG00000002718,79.9431495167709
ENSMUSG00000002728,90.92097782831155
ENSMUSG00000002731,76.7822626492325
ENSMUSG00000002732,34.06480955088118
ENSMUSG00000002733,44.411597498578736
ENSMUSG00000002741,82.65491756679931
