gen_name,spheroplast
YBR030W,40.287096270869085
YBR031W,98.31486971446404
YBR032W,4.400062412232797
YBR033W,19.285379934467155
YBR034C,58.651895771571226
YBR035C,90.10766110157591
YBR036C,88.90622562022156
YBR037C,66.82789826806054
YBR038W,84.55297238258699
YBR039W,87.33031674208145
YBR041W,53.081603994382895
YBR042C,62.39662973942893
YBR043C,51.28725230145108
YBR044C,38.38352317054143
YBR045C,36.26150725542207
YBR046C,79.35715400218443
YBR047W,30.410360430644406
YBR048W,98.36167888906225
YBR049C,72.8974879076299
YBR050C,12.919332189109065
YBR051W,4.384459354033391
YBR052C,88.40692775784053
YBR053C,87.6735840224684
YBR054W,42.58074582618193
YBR055C,30.45716960524263
YBR056W,87.4239350912779
YBR056W-A,14.651271649243252
YBR057C,45.857388048057416
YBR058C,28.054298642533936
YBR058C-A,71.50881572788266
YBR059C,87.4551412076767
YBR060C,38.836011858324234
YBR061C,54.033390544546734
YBR062C,27.726634420346386
YBR063C,39.31970666250585
YBR064W,17.24137931034483
YBR065C,45.872991106256826
YBR066C,45.06163207988766
YBR067C,95.56873147136838
YBR068C,93.15025745046029
YBR069C,86.48775159931347
YBR070C,26.540801997191448
YBR071W,34.123888282103295
YBR072W,90.90341706974567
YBR073W,73.42799188640974
YBR074W,68.96551724137932
YBR076C-A,13.74629427367764
YBR076W,6.47526915275394
YBR077C,46.15384615384615
YBR078W,97.7999687938836
YBR079C,90.93462318614448
YBR080C,81.22952098611329
YBR081C,72.07052582306132
YBR082C,92.86940240287096
YBR083W,48.63473240755188
YBR084C-A,97.67514432828834
YBR084W,85.36433140895615
YBR085C-A,92.79138711187393
YBR085W,19.363395225464192
YBR086C,91.23108129193321
YBR087W,65.4080199719145
YBR088C,38.35231705414261
YBR089C-A,42.54953970978312
YBR089W,22.37478545794976
YBR090C,13.574660633484163
YBR091C,24.34077079107505
YBR092C,87.86082072086128
YBR093C,92.0892494929006
YBR094W,64.54985177094711
YBR095C,42.627555000780156
YBR096W,57.481666406615695
YBR097W,41.972226556405055
YBR098W,43.12685286316118
YBR099C,4.22842877203932
YBR101C,58.29302543298487
