gen_name,mononuclear cell of bone marrow
ENSG00000006125,89.72638100154879
ENSG00000006194,72.85198023453057
ENSG00000006210,46.35297588317723
ENSG00000006282,75.93480345158198
ENSG00000006283,37.74614647097869
ENSG00000006327,43.705288000590016
ENSG00000006377,37.004941367357475
ENSG00000006432,52.37480640165204
ENSG00000006451,90.46758610517
ENSG00000006453,41.44848440150454
ENSG00000006459,59.71310568626005
ENSG00000006468,41.67711483147725
ENSG00000006530,93.97079430636478
ENSG00000006534,68.00280256656096
ENSG00000006555,60.39530938859799
ENSG00000006576,80.5774762150601
ENSG00000006606,2.607124419204956
ENSG00000006607,69.32295892027436
ENSG00000006625,92.51419721218379
ENSG00000006634,84.81082675713549
ENSG00000006638,65.36617744671436
ENSG00000006652,91.83936868500628
ENSG00000006659,24.330702854192786
ENSG00000006695,80.90198392211815
ENSG00000006704,60.66450328195294
ENSG00000006712,80.21609263220002
ENSG00000006715,92.93826978390737
ENSG00000006740,57.898812596799175
ENSG00000006744,86.15310863633012
ENSG00000006747,65.24079946898739
ENSG00000006756,83.6492366693709
ENSG00000006757,72.15871376945202
ENSG00000006788,3.462644737812523
ENSG00000006831,76.80138653293017
ENSG00000006837,59.513975956928974
ENSG00000007001,26.782948595029133
ENSG00000007038,78.76318312559924
ENSG00000007047,51.939671067187845
ENSG00000007062,96.60741942621137
ENSG00000007080,79.09506600781768
ENSG00000007129,73.13223689062616
ENSG00000007168,89.92919831846007
ENSG00000007171,43.089460874695774
ENSG00000007174,56.94003982594587
ENSG00000007202,78.291171915333
ENSG00000007216,2.0281731691127662
ENSG00000007237,61.77077955601445
ENSG00000007255,92.60638690168892
ENSG00000007264,66.08894461243455
ENSG00000007306,16.066819086953316
ENSG00000007312,89.95132384394128
ENSG00000007314,48.14514344715687
ENSG00000007341,81.20805369127517
ENSG00000007350,55.17737296260786
ENSG00000007372,54.35872851980235
ENSG00000007376,56.220960247805884
ENSG00000007384,51.5414116085257
ENSG00000007392,90.12095287263072
ENSG00000007402,46.817611918283056
ENSG00000007516,46.30134965705435
ENSG00000007520,58.90921159377535
ENSG00000007541,67.47178995501143
ENSG00000007545,70.39604690611402
ENSG00000007866,25.377977726971018
ENSG00000007908,28.634117560292054
ENSG00000007923,78.80005900140128
ENSG00000007933,47.97551441846744
ENSG00000007944,83.44273176487943
ENSG00000007952,21.21100376133933
ENSG00000007968,58.879710893133705
ENSG00000008018,99.1961059075153
ENSG00000008056,28.412862305479752
ENSG00000008083,86.223172800354
ENSG00000008086,70.32967032967034
ENSG00000008118,21.550261818718194
ENSG00000008128,69.36720997123682
ENSG00000008130,70.49929935835976
ENSG00000008196,12.736927502028173
ENSG00000008197,13.079873146987243
ENSG00000008226,60.69031639501438
ENSG00000008256,60.716129508075824
ENSG00000008277,68.69975661921971
ENSG00000008282,98.48808909211594
ENSG00000008283,71.57238734419943
ENSG00000008294,79.74408142193377
ENSG00000008300,49.14447968139243
ENSG00000008311,94.71199940998599
ENSG00000008323,39.67106718784571
ENSG00000008324,93.28121542886643
ENSG00000008382,55.98126705509255
ENSG00000008394,91.55911202891069
ENSG00000008405,69.83184600634264
ENSG00000008441,52.389556751972854
ENSG00000008513,84.31669002138801
ENSG00000008516,47.628881185928165
ENSG00000008517,50.01106276274061
ENSG00000008710,64.76510067114094
ENSG00000008735,48.513902205177374
ENSG00000008838,73.72593849103917
ENSG00000008853,52.86894313739951
ENSG00000008869,93.1005236374364
ENSG00000008952,95.81827568404749
ENSG00000008988,99.28829559702042
ENSG00000009307,99.15185485655284
ENSG00000009335,78.56774098384837
ENSG00000009413,87.95265137547017
ENSG00000009694,22.649162917619293
ENSG00000009709,5.413378567740984
ENSG00000009724,49.76768198244708
ENSG00000009765,59.1599675492293
ENSG00000009780,93.08946087469577
ENSG00000009790,93.96341913120436
ENSG00000009830,60.47643631536249
ENSG00000009844,97.0646802861568
ENSG00000009950,55.07412051036212
ENSG00000009954,79.72564348403274
ENSG00000010017,92.79814145585958
ENSG00000010030,51.9765469429899
ENSG00000010072,71.00449885684785
ENSG00000010165,72.73766501954422
ENSG00000010219,80.18290434397817
ENSG00000010244,98.46227597905451
