gen_name,peripheral blood mononuclear cell
ENSG00000007341,55.76754385964912
ENSG00000007350,48.68859649122807
ENSG00000007372,16.771929824561404
ENSG00000007376,67.38157894736842
ENSG00000007384,20.684210526315788
ENSG00000007392,83.29824561403508
ENSG00000007402,51.324561403508774
ENSG00000007516,46.55263157894737
ENSG00000007520,84.8640350877193
ENSG00000007541,62.140350877192986
ENSG00000007545,56.372807017543856
ENSG00000007866,33.73684210526316
ENSG00000007923,59.359649122807014
ENSG00000007933,17.92982456140351
ENSG00000007944,86.65350877192982
ENSG00000007952,14.26315789473684
ENSG00000007968,53.995614035087726
ENSG00000008018,97.57894736842105
ENSG00000008056,34.50438596491228
ENSG00000008083,92.25877192982456
ENSG00000008086,88.31578947368422
ENSG00000008118,1.1359649122807018
ENSG00000008128,93.7017543859649
