gen_name,"CD4-positive, CD25-positive, alpha-beta regulatory T cell","CD4-positive, alpha-beta memory T cell"
ENSMUSG00000003119,88.40705563093623,88.3527815468114
ENSMUSG00000003123,55.84803256445048,50.61601085481683
ENSMUSG00000003131,78.57259158751695,79.16417910447761
ENSMUSG00000003134,7.37584803256445,11.137042062415196
ENSMUSG00000003135,77.27001356852104,78.69199457259158
ENSMUSG00000003153,96.04341926729987,94.38263229308005
ENSMUSG00000003154,56.19538670284939,55.19674355495251
ENSMUSG00000003161,97.80189959294437,97.78561736770692
ENSMUSG00000003166,65.80732700135685,67.97829036635007
ENSMUSG00000003184,88.3527815468114,87.81546811397558
ENSMUSG00000003190,66.68113975576662,69.97557666214382
ENSMUSG00000003198,59.462686567164184,60.1248303934871
ENSMUSG00000003199,81.51967435549525,84.71641791044776
ENSMUSG00000003200,91.09905020352782,92.08683853459972
ENSMUSG00000003206,63.066485753052916,46.57259158751696
ENSMUSG00000003208,78.3337856173677,78.57259158751695
ENSMUSG00000003226,82.561736770692,80.9280868385346
ENSMUSG00000003228,37.94843962008141,44.0
ENSMUSG00000003233,66.30122116689282,70.58344640434193
ENSMUSG00000003234,73.40569877883311,73.54138398914517
ENSMUSG00000003235,68.82496607869743,69.09633649932158
ENSMUSG00000003269,81.24287652645862,81.76933514246947
ENSMUSG00000003271,36.76526458616011,40.01628222523745
ENSMUSG00000003273,42.762550881953864,34.637720488466755
ENSMUSG00000003279,16.14654002713704,10.013568521031207
ENSMUSG00000003282,34.88195386702849,30.599728629579374
ENSMUSG00000003283,1.9267299864314789,10.480325644504749
ENSMUSG00000003299,86.3012211668928,87.52781546811399
ENSMUSG00000003308,84.86838534599728,85.7584803256445
ENSMUSG00000003309,28.05427408412483,28.938941655359567
ENSMUSG00000003316,79.72320217096338,79.59837177747625
ENSMUSG00000003341,14.100407055630937,5.818181818181818
ENSMUSG00000003344,66.42062415196743,67.05563093622796
ENSMUSG00000003345,77.98643147896878,83.83717774762552
ENSMUSG00000003346,82.51289009497965,88.10854816824965
ENSMUSG00000003348,87.29986431478969,85.91587516960651
ENSMUSG00000003352,32.04341926729987,33.693351424694704
ENSMUSG00000003355,83.39755766621438,80.39077340569878
ENSMUSG00000003360,71.2293080054274,71.70149253731344
ENSMUSG00000003363,89.7259158751696,88.49932157394844
ENSMUSG00000003378,50.664857530529176,43.07734056987788
ENSMUSG00000003379,36.141112618724556,26.089552238805968
ENSMUSG00000003380,97.93215739484397,97.54138398914517
ENSMUSG00000003382,75.98914518317503,76.07598371777476
ENSMUSG00000003402,87.62550881953867,87.86974219810041
ENSMUSG00000003410,10.860244233378562,4.830393487109904
ENSMUSG00000003411,11.25101763907734,9.720488466757123
ENSMUSG00000003418,75.76662143826323,55.164179104477604
ENSMUSG00000003420,28.130257801899596,32.526458616010856
ENSMUSG00000003421,76.9280868385346,78.24694708276797
ENSMUSG00000003423,73.52510176390773,75.03392130257802
ENSMUSG00000003429,99.86431478968792,99.84260515603799
ENSMUSG00000003435,86.00271370420624,85.4708276797829
ENSMUSG00000003437,68.2225237449118,69.83989145183175
