gen_name,embryonic stem cell,epiblast cell,induced pluripotent stem cell
ENSMUSG00000000409,78.90017487070729,77.97745284071883,85.11738661308927
ENSMUSG00000000411,0.0,0.0,9.163969192990288
ENSMUSG00000000416,67.57822673661495,27.52167280574469,56.944599471667225
ENSMUSG00000000420,77.99605610745247,80.38471555605165,84.4774342374521
ENSMUSG00000000435,0.0,0.0,3.862038173903337
ENSMUSG00000000439,86.25218588384121,82.6766380176359,86.79540127246345
ENSMUSG00000000440,23.737768352122632,18.093537225136732,51.970085947092315
ENSMUSG00000000441,95.44592030360532,94.47482978010939,95.25244632957546
ENSMUSG00000000486,92.33545410574096,58.65610001116196,67.70472895040369
ENSMUSG00000000489,61.31636715407226,54.94288797112773,65.39792387543253
ENSMUSG00000000530,51.11433567734495,0.0,38.92547531346505
ENSMUSG00000000531,79.94195780779106,57.97149979536407,65.4351304088998
ENSMUSG00000000532,65.09283030100086,60.881050712505115,63.60084830896305
ENSMUSG00000000538,65.55791196934182,63.38877106819958,64.30405179149459
ENSMUSG00000000544,83.41332738028798,30.713993377237042,66.38017635896864
ENSMUSG00000000552,62.40651858466346,62.26885441083454,66.20530565167243
ENSMUSG00000000555,81.27395170591956,78.58391933623544,75.38415745804964
ENSMUSG00000000560,47.553670424526544,45.388250176731034,40.01190609070952
ENSMUSG00000000561,98.04293633962124,98.43732559437437,97.90155151244558
ENSMUSG00000000562,48.29780109387208,46.05796777914202,41.42575436246605
ENSMUSG00000000563,99.20005953045354,99.18145626371991,99.22982475722736
ENSMUSG00000000567,29.873125720876587,63.22506232094356,57.13063213900361
ENSMUSG00000000568,85.7945455221937,86.4121739777505,86.90702087286527
ENSMUSG00000000579,76.19525988763627,73.53127209137925,74.33865386761916
ENSMUSG00000000581,86.02894668303755,90.35234587193511,90.7951036201957
ENSMUSG00000000594,83.28682516649923,72.79458272872716,89.12080961416825
ENSMUSG00000000600,88.34319306470216,87.46883952822115,88.48829854522454
ENSMUSG00000000605,65.487219555754,79.94195780779106,75.87900435316442
ENSMUSG00000000606,30.267514975629723,37.5897607619898,36.172191836886554
ENSMUSG00000000617,0.0,63.54875916210887,27.16821073780556
ENSMUSG00000000627,65.69185548982401,38.553409978792274,50.563678982029245
ENSMUSG00000000628,94.49715370018976,92.04896379804293,86.41589463109722
ENSMUSG00000000631,67.68612568367006,69.40134687651151,65.92253599732113
ENSMUSG00000000632,34.055140082598506,60.895933325892024,47.57599434460691
ENSMUSG00000000673,34.230010789894706,25.159057930572608,45.12036313576664
ENSMUSG00000000682,43.14469620865424,0.0,31.119544592030362
ENSMUSG00000000686,30.777244484131412,52.53562525579491,53.819250660415975
ENSMUSG00000000690,34.62067939130111,41.36250325557168,26.349667001525468
ENSMUSG00000000693,49.52189604494549,59.411392640547675,54.22852252855601
ENSMUSG00000000701,0.0,0.0,23.6931205119619
ENSMUSG00000000706,37.08375190683484,35.28667634036537,36.70052461212189
ENSMUSG00000000708,80.87584179781969,65.00353462067939,71.64118019124159
ENSMUSG00000000711,82.84778807158537,81.77251925438107,88.61852141236001
ENSMUSG00000000724,32.142724262380476,30.211705175428804,29.86568441418313
ENSMUSG00000000730,68.984633701678,40.171894184618814,79.60337835323882
ENSMUSG00000000731,64.81378129999628,33.43751162704171,47.2522975034416
