gen_name,fibroblast,mouse embryonic stem cell
ENSMUSG00000000409,40.899607777685056,66.00183593424018
ENSMUSG00000000416,22.50688475340065,62.26320620879579
ENSMUSG00000000420,90.44896937327881,81.80756071100727
ENSMUSG00000000435,8.165734790953852,4.894433781190019
ENSMUSG00000000439,75.16064424601518,85.01627305349245
ENSMUSG00000000440,60.506550947175164,4.422932487690896
ENSMUSG00000000441,85.57539848118168,91.80922974213469
ENSMUSG00000000486,52.849870650087624,97.97212718017191
ENSMUSG00000000489,38.587999666193774,45.58541266794626
ENSMUSG00000000530,64.05324209296504,41.71743303012601
ENSMUSG00000000531,50.70099307352082,67.16181256780439
ENSMUSG00000000532,55.60794458816657,77.01326879746307
ENSMUSG00000000538,66.43578402737211,51.1975298339314
ENSMUSG00000000544,0.0,86.71033964783443
ENSMUSG00000000552,55.11140782775599,52.98756571810064
ENSMUSG00000000555,98.2892430943837,71.22173078527915
ENSMUSG00000000560,56.1837603271301,47.90953851289326
ENSMUSG00000000561,91.04147542351664,96.21964449636987
ENSMUSG00000000562,39.2347492280731,46.90811983643495
ENSMUSG00000000563,98.14320287073353,98.63139447550697
ENSMUSG00000000567,76.59601101560544,36.09697070850371
ENSMUSG00000000568,80.73520821163315,96.3197863640157
ENSMUSG00000000579,71.41366936493365,80.00917967120087
ENSMUSG00000000581,93.53667695902529,87.87448885921722
ENSMUSG00000000594,95.62296586831344,97.75932571142451
ENSMUSG00000000600,89.11374447133439,91.3669364933656
ENSMUSG00000000605,87.83693565885004,60.56496703663523
ENSMUSG00000000606,34.87023282984228,32.604523074355335
ENSMUSG00000000617,19.77801886005174,28.49036134523909
ENSMUSG00000000627,39.051155804055746,50.39222231494618
ENSMUSG00000000628,86.12617875323375,97.66335642159726
ENSMUSG00000000631,66.0519068680631,71.60143536676959
ENSMUSG00000000632,37.34874405407661,34.65325878327631
ENSMUSG00000000673,32.58366018526245,27.618292581156638
ENSMUSG00000000682,38.325127263623465,29.81724109154636
ENSMUSG00000000686,40.40724359509305,23.011766669448384
ENSMUSG00000000690,54.65659684553117,7.443878828340149
ENSMUSG00000000693,95.29333222064591,51.180839522657095
ENSMUSG00000000706,21.309354919469246,30.37636651923558
ENSMUSG00000000708,59.06701159976634,82.19978302595344
ENSMUSG00000000711,81.58641408662271,75.78653091880163
ENSMUSG00000000724,37.1734957856964,42.990069264791785
ENSMUSG00000000730,53.05015438537929,89.64366185429358
ENSMUSG00000000731,27.968789117917048,72.78227488942669
ENSMUSG00000000732,44.145873320537426,59.997496453308855
ENSMUSG00000000738,82.03287991321038,77.07585746474172
ENSMUSG00000000739,49.31152465993491,68.59717933739464
ENSMUSG00000000740,99.45756488358508,99.71626470833681
ENSMUSG00000000743,85.96344821830927,84.92864891930235
ENSMUSG00000000751,94.27105065509471,97.64249353250437
ENSMUSG00000000753,99.51180839522658,38.82166402403405
ENSMUSG00000000759,81.50713510806976,84.64908620545773
ENSMUSG00000000766,15.588750730201117,12.705499457564883
ENSMUSG00000000776,79.91321038137362,73.34557289493449
ENSMUSG00000000782,45.58124009012768,67.37044145873321
ENSMUSG00000000787,96.60352165567888,95.90252858215806
ENSMUSG00000000791,44.88441959442543,31.916047734290242
ENSMUSG00000000792,24.29692063756989,32.433447383793705
ENSMUSG00000000794,13.798714846031878,44.73003421513811
ENSMUSG00000000804,70.61670700158558,71.01310189435033
ENSMUSG00000000811,64.96286405741468,55.315864140866225
ENSMUSG00000000817,33.76867228573813,0.0
ENSMUSG00000000823,81.44454644079111,87.03997329550197
ENSMUSG00000000826,85.27497287824418,82.7004923641826
