gen_name,"effector memory CD4-positive, alpha-beta T cell","naive thymus-derived CD4-positive, alpha-beta T cell"
ENSMUSG00000001440,88.34677084199151,94.82171058099908
ENSMUSG00000001441,80.89518743246613,86.43088687557145
ENSMUSG00000001444,77.37927021860195,62.90000831186102
ENSMUSG00000001445,83.4760202809409,84.4900673260743
ENSMUSG00000001467,81.9466378522151,81.44377026016126
ENSMUSG00000001472,97.01188596126673,96.27628626049372
ENSMUSG00000001473,56.923780234394485,43.54583991355664
ENSMUSG00000001482,60.082287424154266,61.38309367467376
ENSMUSG00000001496,52.88005984539939,51.51275870667442
ENSMUSG00000001497,44.659629290998254,37.7483168481423
ENSMUSG00000001506,41.7920372371374,54.32632366386834
ENSMUSG00000001507,49.576095087690135,29.174632200149613
ENSMUSG00000001508,21.369794697032667,10.863602360568532
ENSMUSG00000001510,28.07746654475937,21.5817471531876
ENSMUSG00000001517,60.801263402875904,47.2778655140886
ENSMUSG00000001518,76.70185354500873,85.88645997838917
ENSMUSG00000001520,42.943229989194585,53.63228326822376
ENSMUSG00000001521,69.65339539522898,72.58748233729531
ENSMUSG00000001524,64.02626548084116,65.94630537777408
ENSMUSG00000001525,96.6503200066495,99.37661042307373
ENSMUSG00000001542,76.3610672429557,77.97356828193833
ENSMUSG00000001552,42.31568448175547,51.56678580334136
ENSMUSG00000001555,0.0,18.498046712658965
ENSMUSG00000001558,0.0,15.385254758540437
ENSMUSG00000001569,83.74199983376278,85.6911312442856
ENSMUSG00000001576,64.57900423904913,62.94572354750228
ENSMUSG00000001583,40.65746820713157,46.55473360485413
ENSMUSG00000001588,95.48250353254095,93.66636189842906
ENSMUSG00000001604,0.0,42.80192835175796
ENSMUSG00000001622,54.147618651816146,59.62513506774167
ENSMUSG00000001627,93.3629789709916,92.36139971739674
ENSMUSG00000001630,67.03931510265149,91.23098661790375
ENSMUSG00000001632,78.36838168065829,81.61831934170061
ENSMUSG00000001642,96.6710996592137,95.07937827279528
ENSMUSG00000001655,0.0,11.877649405701938
ENSMUSG00000001657,36.555564790956694,39.96758374199983
ENSMUSG00000001661,26.269636771673177,33.014711994015464
ENSMUSG00000001665,56.58714986285429,59.0516166569695
ENSMUSG00000001666,67.36347768265315,67.74582328983459
ENSMUSG00000001670,0.0,11.329066578006817
ENSMUSG00000001672,31.497797356828194,15.942149447261242
ENSMUSG00000001674,89.69329232815227,90.55356994431052
ENSMUSG00000001687,96.89967583741999,97.46072645665365
ENSMUSG00000001700,95.30379852048874,95.66536447510597
ENSMUSG00000001707,85.73684647992685,91.88762363893275
ENSMUSG00000001729,84.41941650735599,70.47211370625884
ENSMUSG00000001739,29.3325575596376,32.76951209375779
ENSMUSG00000001741,97.66852298229574,95.52406283766935
ENSMUSG00000001750,76.94289751475355,79.31177790707339
ENSMUSG00000001751,59.97423323082038,53.79020862771174
ENSMUSG00000001755,67.18892860111379,58.6651151192752
ENSMUSG00000001761,57.7300307538858,56.70351591721386
ENSMUSG00000001763,52.01562629872829,60.63918211287507
ENSMUSG00000001767,79.85620480425567,79.19541185271383
ENSMUSG00000001768,47.257085861524395,44.38118194663785
ENSMUSG00000001774,92.89751475355332,95.01703931510265
ENSMUSG00000001783,91.32657301969911,94.42274125176627
ENSMUSG00000001785,86.18568697531377,89.20289252763693
ENSMUSG00000001786,78.14396143296484,79.62347269553653
ENSMUSG00000001794,86.93791039813814,84.40279278530463
ENSMUSG00000001802,30.745573934003822,39.04496716814895
ENSMUSG00000001804,19.142215942149445,2.738758207962763
ENSMUSG00000001815,21.67317762447012,8.581996509018369
ENSMUSG00000001827,12.422076302884216,16.9811320754717
ENSMUSG00000001829,64.42939074058683,81.4479261906741
ENSMUSG00000001833,99.21037320256005,99.343362978971
ENSMUSG00000001844,73.7386750893525,77.80317513091181
ENSMUSG00000001847,98.76153270717313,95.83575762613249
ENSMUSG00000001855,86.75089352506026,91.55930512841826
ENSMUSG00000001864,0.0,19.021693957277034
ENSMUSG00000001865,44.86742581664034,37.88961848557892
ENSMUSG00000001870,62.251683151857705,55.07854708669271
ENSMUSG00000001891,82.03806832349763,79.32424569861192
ENSMUSG00000001909,80.40894356246363,90.29590225251434
ENSMUSG00000001910,56.225583908237056,60.94256504031252
ENSMUSG00000001911,57.79652564209127,52.64732773668024
ENSMUSG00000001918,96.71265896434211,95.64458482254177
ENSMUSG00000001924,93.57908735765939,94.55157509766437
