gen_name,peptic cell,stem cell of gastric gland
ENSMUSG00000000826,92.61584718783162,92.84135125574814
ENSMUSG00000000827,89.44994694021932,90.69243013795543
ENSMUSG00000000838,80.65086664308454,76.437035726919
ENSMUSG00000000861,69.23417049876194,76.31765122037496
ENSMUSG00000000869,41.93491333569155,26.706756278740713
ENSMUSG00000000876,82.58754863813229,77.3257870534135
ENSMUSG00000000881,53.30739299610895,53.42235585426247
ENSMUSG00000000884,58.577997877608766,59.05553590378493
ENSMUSG00000000901,42.99168730102582,38.74690484612663
ENSMUSG00000000902,89.9097983728334,91.6165546515741
ENSMUSG00000000903,35.07693668199504,37.5442164839052
ENSMUSG00000000915,83.54704633887513,87.610541209763
ENSMUSG00000000916,70.75963919349132,75.62345242306333
ENSMUSG00000000934,67.52299257163071,62.90237000353732
ENSMUSG00000000948,31.5263530244075,40.44481782808631
ENSMUSG00000000957,56.773965334276625,44.583480721613014
ENSMUSG00000000958,63.99451715599576,63.326848249027236
ENSMUSG00000000959,86.37690130880792,80.38114609126282
ENSMUSG00000000976,71.21506897771489,73.71330031835869
ENSMUSG00000001014,25.477538026176163,36.90749911567032
ENSMUSG00000001016,89.75061903077467,91.01078882207287
ENSMUSG00000001017,89.64449946940219,91.88627520339583
ENSMUSG00000001018,86.60682702511497,84.23682348779626
ENSMUSG00000001020,30.124690484612664,22.17898832684825
ENSMUSG00000001021,9.984082065794128,19.6896002829855
ENSMUSG00000001025,85.5986911920764,90.04244782454899
ENSMUSG00000001027,29.06349487088787,32.95896710293598
ENSMUSG00000001029,18.8715953307393,23.408206579412806
ENSMUSG00000001034,62.50884329678104,66.15670321896003
ENSMUSG00000001036,68.02706048814998,64.27750265298904
ENSMUSG00000001039,61.58914043155288,64.48532012734347
ENSMUSG00000001052,83.55588963565617,80.45631411390166
ENSMUSG00000001053,62.2568093385214,66.037318712416
ENSMUSG00000001054,79.90802971347718,79.09886805801203
ENSMUSG00000001056,87.57958967102935,94.81782808631057
ENSMUSG00000001062,61.6819950477538,61.11160240537672
ENSMUSG00000001065,59.227980191015206,61.567032189600276
ENSMUSG00000001076,26.158471878316234,13.499292536257517
ENSMUSG00000001082,82.03926423770783,87.07552175451008
ENSMUSG00000001089,75.06190307746728,75.10169791298196
ENSMUSG00000001098,96.0382030420941,96.73240183940574
ENSMUSG00000001100,91.46621860629642,91.21860629642731
ENSMUSG00000001103,8.741598868058013,8.471878316236294
ENSMUSG00000001105,84.07764414573752,82.28687654757694
ENSMUSG00000001119,23.403784931022283,10.063671736823487
ENSMUSG00000001120,48.222497347010965,52.838698266713834
ENSMUSG00000001123,98.3639900955076,98.26229218252564
ENSMUSG00000001127,95.79059073222498,88.1411390166254
ENSMUSG00000001128,39.33940573045631,40.391758047400074
ENSMUSG00000001131,32.80420940926778,22.92182525645561
ENSMUSG00000001134,62.07110010611956,67.35939158118146
ENSMUSG00000001138,59.92660063671737,58.50282985496993
ENSMUSG00000001143,73.66024053767244,73.24018394057305
ENSMUSG00000001150,66.55907322249735,65.16625397948354
ENSMUSG00000001151,77.14449946940219,79.55429784223558
ENSMUSG00000001155,21.21949062610541,8.688539087371772
ENSMUSG00000001156,71.33003183586841,79.99646268128758
ENSMUSG00000001157,77.32136540502299,73.47010965688008
ENSMUSG00000001158,71.88715953307393,74.10682702511497
ENSMUSG00000001166,54.797488503714185,48.9388043862752
ENSMUSG00000001173,68.41616554651574,59.22355854262469
ENSMUSG00000001175,99.41634241245137,99.5136186770428
ENSMUSG00000001211,66.07711354793067,69.62769720551822
ENSMUSG00000001225,42.001238061549344,47.811284046692606
ENSMUSG00000001227,48.55412097629996,41.00636717368235
ENSMUSG00000001228,80.71719136894234,87.20374955783517
ENSMUSG00000001229,80.3767244428723,83.35249380969225
ENSMUSG00000001240,25.451008135833035,23.722143615139725
ENSMUSG00000001247,99.2041032897064,99.08471878316236
