gen_name,mix of stromal fibroblasts and epithelial tumour cells
ENSG00000023697,83.50747986191024
ENSG00000023734,96.99424626006905
ENSG00000023839,41.7307249712313
ENSG00000023892,41.62945914844649
ENSG00000023902,78.0253164556962
ENSG00000023909,93.93785960874568
ENSG00000024048,74.27848101265823
ENSG00000024422,86.33831990794016
ENSG00000024526,84.78711162255466
ENSG00000024862,57.703107019562715
ENSG00000025039,66.23245109321059
ENSG00000025156,59.245109321058685
ENSG00000025293,93.17376294591485
ENSG00000025423,40.313003452243954
ENSG00000025434,48.842347525891824
ENSG00000025708,77.76754890678941
ENSG00000025770,62.0897583429229
ENSG00000025772,81.96547756041427
ENSG00000025796,93.32105868814729
ENSG00000025800,91.27733026467205
ENSG00000026025,99.53509781357882
ENSG00000026036,77.01726121979287
ENSG00000026103,57.25201380897583
ENSG00000026297,82.64672036823936
ENSG00000026508,96.37744533947065
ENSG00000026559,80.37744533947065
ENSG00000026652,60.98043728423475
ENSG00000026751,31.346375143843495
ENSG00000026950,57.78596087456847
ENSG00000027001,52.18411967779056
ENSG00000027075,57.321058688147296
ENSG00000027697,67.22209436133487
ENSG00000027847,84.12428078250863
ENSG00000027869,43.72842347525892
ENSG00000028116,65.05868814729574
ENSG00000028137,47.90794016110472
ENSG00000028203,78.47180667433832
ENSG00000028277,47.49827387802071
ENSG00000028310,80.09205983889528
ENSG00000028528,74.36133486766398
ENSG00000028839,72.04142692750287
ENSG00000029153,62.05293440736479
ENSG00000029363,94.73417721518987
ENSG00000029364,68.4234752589183
ENSG00000029534,33.026467203682394
ENSG00000029639,62.982738780207136
ENSG00000029725,87.04257767548907
ENSG00000029993,85.73532796317606
ENSG00000030066,74.22784810126582
ENSG00000030110,62.14499424626007
ENSG00000030304,5.592635212888378
ENSG00000030419,56.115074798619105
ENSG00000030582,94.20023014959725
ENSG00000031003,66.21403912543154
ENSG00000031081,51.29574223245109
ENSG00000031691,57.47756041426928
ENSG00000031698,85.00805523590333
ENSG00000031823,62.536248561565024
ENSG00000032219,75.96777905638665
ENSG00000032389,74.204833141542
