gen_name,luminal epithelial cell of mammary gland,myoepithelial cell of mammary gland
ENSG00000007908,74.29129180105245,93.86352062468171
ENSG00000007923,63.843150568664065,67.2636224749618
ENSG00000007933,41.436088949244606,51.778136139874384
ENSG00000007944,71.43948395858088,65.99473773552877
ENSG00000007952,20.41673739602784,31.433542692242405
ENSG00000007968,41.792564929553556,48.56985231709387
ENSG00000008018,97.90782549652012,98.79477168562214
ENSG00000008083,78.51383466304533,85.64335426922423
ENSG00000008086,85.15956543880495,91.25785095909013
ENSG00000008118,18.120862332371416,16.949584111356305
ENSG00000008128,75.10185028008827,90.54489899847225
ENSG00000008130,68.34578170089968,57.21015107791546
ENSG00000008196,67.55644203021558,50.984552707519946
ENSG00000008197,0.0,8.080122220336106
ENSG00000008226,51.162790697674424,39.645221524359194
ENSG00000008256,48.166694958411135,45.098455270752
ENSG00000008277,36.581225598370395,55.92853505347139
ENSG00000008282,97.58105584790358,97.8017314547615
ENSG00000008283,87.11169580716347,78.25920896282464
ENSG00000008294,94.80563571549821,96.09149550161263
ENSG00000008300,24.87693091156001,29.358343235443897
ENSG00000008311,87.51909692751654,85.10015277542013
ENSG00000008323,63.550331013410286,45.713800712951965
ENSG00000008324,82.99524698692922,80.02885757935834
ENSG00000008382,35.06620268205737,19.691054150398912
ENSG00000008394,99.67323035138347,99.36767951111865
ENSG00000008405,76.92666779833644,80.19436428450179
ENSG00000008441,66.60159565438805,66.59735189271771
ENSG00000008513,87.6294347309455,74.37616703445934
ENSG00000008516,31.27227974876931,13.45272449499236
ENSG00000008517,94.06297742318792,87.35783398404345
ENSG00000008710,52.14734340519437,62.438465455780005
ENSG00000008735,53.28042777117638,59.61636394500085
ENSG00000008838,62.70157867934137,62.68035987098964
ENSG00000008853,43.17603123408589,40.65948056357155
ENSG00000008869,87.0480393821083,82.56238329655406
ENSG00000008952,95.74775080631471,98.16245119674079
ENSG00000008988,98.4680020370056,98.39585808860974
ENSG00000009307,98.71838397555594,97.6489560346291
ENSG00000009335,83.03768460363266,87.06501442878968
ENSG00000009413,88.31268035987098,89.68765914106264
ENSG00000009694,36.90799524698693,20.552537769478864
ENSG00000009709,7.104057036156849,10.902223731115262
ENSG00000009724,29.901544729248002,37.66338482430827
ENSG00000009765,51.24342216941097,55.54235274147003
ENSG00000009780,92.87896791716177,87.53182821252759
ENSG00000009790,53.92547954506875,53.93396706840944
ENSG00000009830,62.570022067560686,73.33220166355457
ENSG00000009844,92.23815990493975,86.54727550500763
ENSG00000009950,39.747071804447465,43.23544389747072
ENSG00000009954,90.95230011882532,93.04871838397555
ENSG00000010017,85.54150398913598,82.11678832116789
ENSG00000010030,41.24087591240876,53.33559667289085
ENSG00000010072,63.91953827873027,64.81497199117298
ENSG00000010165,76.29010354778475,72.27126124596842
ENSG00000010219,74.46528602953659,70.4973688677644
ENSG00000010244,97.54286199287048,98.31947037854354
ENSG00000010256,94.98387370565268,93.61738244780173
ENSG00000010270,82.31624511967408,77.55898828721779
ENSG00000010278,98.40434561195043,98.73535902223732
ENSG00000010282,0.0,16.5209641826515
ENSG00000010292,62.68884739433034,61.178068239687654
ENSG00000010295,52.41470039042607,50.50076387710066
ENSG00000010310,55.95824138516381,54.464437277202514
ENSG00000010318,53.97640468511289,56.255304702087926
ENSG00000010322,74.68596163639451,82.24410117127822
ENSG00000010327,18.85503310134103,65.33695467662535
ENSG00000010361,31.887625190969278,38.82193176031234
ENSG00000010379,9.005262264471227,10.528772704124936
ENSG00000010404,88.05805465965031,83.78458665761332
ENSG00000010438,51.15005941266338,34.50602614157189
ENSG00000010539,68.82957053131896,64.25055168901714
ENSG00000010610,22.954506874893905,33.440841962315396
ENSG00000010626,52.18553726022746,44.18180274995756
ENSG00000010671,18.78288915294517,25.08063147173655
ENSG00000010704,61.08046172126973,54.8336445425225
ENSG00000010803,64.05109489051095,61.06773043625871
ENSG00000010810,46.44372772025123,74.53742997793243
ENSG00000010818,81.77304362586997,83.39840434561195
ENSG00000010932,33.750636564250556,46.855372602274656
ENSG00000011007,87.74826005771516,97.31794262434221
ENSG00000011009,79.8633508742149,72.83143778645392
ENSG00000011021,74.78781191648277,71.90205398064845
ENSG00000011028,27.113393311831608,52.244949923612296
ENSG00000011052,49.07485995586488,61.173824478017316
ENSG00000011083,12.799185197759295,6.238329655406552
ENSG00000011105,53.11067730436258,50.645051773892376
ENSG00000011114,88.13019860804617,88.6182312001358
ENSG00000011132,57.753352571719574,54.880325920896276
ENSG00000011143,59.90493973858428,52.71600746902054
ENSG00000011198,95.6798506195892,89.10202003055508
ENSG00000011201,41.89017144797148,43.71498896621966
ENSG00000011243,69.99236122899339,72.99270072992701
ENSG00000011258,74.25309794601935,80.47020879307418
ENSG00000011260,70.01782379901545,82.45628925479545
ENSG00000011275,84.58665761330843,84.37871329146155
ENSG00000011295,91.17721948735358,85.7070106942794
ENSG00000011304,81.79001867255134,86.10168052962146
