gen_name,astrocyte,neuron,olfactory projection neuron,"olfactory projection neuron innervating DA1, VA1d or DC3 glomerulus",olfactory projection neuron innervating VM2 glomerulus,olfactory projection neuron innvervating DC2 glomerulus
FBgn0037081,0.0,75.04234417344173,84.789972899729,89.71883468834689,70.89261517615176,90.3201219512195
FBgn0037082,66.09078590785907,49.076897018970186,56.605691056910565,51.83773712737128,54.242886178861795,53.55691056910569
FBgn0037084,0.0,91.86144986449864,92.59823848238482,94.98644986449864,96.29911924119241,93.47052845528455
FBgn0037085,0.0,0.0,17.107046070460704,9.044715447154472,0.0,0.0
FBgn0037087,73.67039295392954,69.91869918699187,66.1839430894309,57.8760162601626,75.77913279132791,69.50372628726286
FBgn0037090,0.0,0.0,8.892276422764228,10.154132791327914,0.0,0.0
FBgn0037092,87.27981029810297,92.23407859078591,90.81131436314364,80.76727642276423,89.40548780487805,89.87974254742548
FBgn0037093,85.24728997289974,67.87771002710026,67.17479674796748,69.08028455284553,63.37228997289973,79.64092140921409
FBgn0037094,77.01558265582655,90.210027100271,93.96172086720867,93.17411924119241,94.41056910569105,93.52134146341463
FBgn0037098,83.76524390243902,95.09654471544715,79.84417344173443,82.67276422764228,69.4190379403794,94.48678861788618
FBgn0037099,0.0,0.0,32.173102981029814,35.43360433604336,38.44850948509485,0.0
FBgn0037100,0.0,0.0,28.9380081300813,29.776422764227643,0.0,0.0
FBgn0037101,0.0,0.0,26.84620596205962,31.122967479674795,33.90074525745258,0.0
FBgn0037102,0.0,81.5210027100271,66.92920054200542,71.67174796747967,59.90853658536586,67.15785907859079
FBgn0037105,73.2300135501355,0.0,44.71544715447154,50.804539295392956,49.88143631436314,37.63550135501355
FBgn0037106,0.0,92.92852303523034,84.32418699186992,76.8970189701897,82.97764227642277,87.85569105691057
FBgn0037107,0.0,97.07825203252033,87.22052845528455,82.79979674796748,86.1280487804878,92.5220189701897
FBgn0037108,87.16124661246613,86.8140243902439,90.27777777777779,90.82825203252033,90.96375338753387,86.57689701897019
FBgn0037109,79.51388888888889,73.755081300813,68.80928184281842,63.482384823848236,72.97594850948511,61.75474254742548
FBgn0037110,76.95630081300813,56.148373983739845,51.59214092140921,50.97391598915989,56.05521680216802,46.646341463414636
FBgn0037115,0.0,0.0,13.152100271002709,16.810636856368564,28.15040650406504,30.123644986449865
FBgn0037116,0.0,0.0,68.80081300813008,63.0589430894309,59.984756097560975,71.07046070460704
FBgn0037117,0.0,52.81165311653117,65.84518970189703,65.23543360433605,66.48882113821138,71.24830623306234
FBgn0037120,85.07791327913279,85.40819783197831,84.60365853658537,84.1039972899729,81.25,68.03861788617887
FBgn0037121,0.0,66.01456639566395,57.22391598915989,52.5660569105691,68.97018970189703,51.09247967479674
FBgn0037122,0.0,0.0,30.7079945799458,27.566056910569102,40.78590785907859,39.91361788617886
FBgn0037124,0.0,0.0,8.189363143631438,10.29810298102981,0.0,0.0
FBgn0037125,0.0,0.0,4.573170731707317,9.823848238482384,0.0,0.0
FBgn0037126,0.0,0.0,16.60738482384824,12.787940379403794,0.0,0.0
FBgn0037127,0.0,0.0,15.862127371273713,19.359756097560975,0.0,47.22222222222222
FBgn0037128,0.0,0.0,16.116192411924118,8.714430894308943,0.0,0.0
FBgn0037129,0.0,0.0,12.051151761517616,4.8272357723577235,0.0,0.0
FBgn0037130,0.0,63.83807588075881,75.72831978319783,66.91226287262873,69.47831978319783,85.4928861788618
FBgn0037131,0.0,0.0,17.65752032520325,0.0,0.0,0.0
FBgn0037133,0.0,66.0060975609756,37.38143631436314,32.84214092140921,34.32418699186992,37.762533875338754
FBgn0037134,72.24762872628726,62.97425474254743,62.82181571815718,85.03556910569105,69.67310298102981,61.8140243902439
FBgn0037135,98.90752032520325,81.38550135501355,98.05216802168022,97.4339430894309,95.79098915989161,97.03590785907859
FBgn0037137,69.85941734417345,0.0,79.16666666666666,72.62025745257452,77.95562330623305,75.91463414634147
FBgn0037138,98.56029810298102,87.65243902439023,97.39159891598916,98.82283197831978,98.6280487804878,97.59485094850947
FBgn0037139,0.0,0.0,13.592479674796747,29.988143631436316,0.0,0.0
FBgn0037140,93.63143631436314,0.0,38.25372628726287,43.40277777777778,45.951897018970186,45.78252032520325
FBgn0037141,90.98069105691057,68.12330623306234,55.106707317073166,62.72018970189702,49.263211382113816,56.84281842818428
FBgn0037142,83.85840108401084,73.7720189701897,78.19275067750678,78.9380081300813,67.31876693766937,81.99525745257452
FBgn0037143,0.0,0.0,19.73238482384824,35.27269647696477,28.412940379403796,0.0
FBgn0037144,0.0,0.0,36.483739837398375,48.00135501355013,52.913279132791324,0.0
FBgn0037146,0.0,0.0,13.279132791327914,16.480352303523034,33.15548780487805,0.0
FBgn0037149,0.0,65.3201219512195,66.31944444444444,60.890921409214094,64.33773712737127,77.37974254742548
FBgn0037150,0.0,69.45291327913279,69.38516260162602,60.15413279132791,62.94037940379403,64.24457994579946
FBgn0037151,0.0,0.0,39.2530487804878,42.640582655826556,30.919715447154474,49.601964769647694
FBgn0037153,79.93733062330624,96.5701219512195,70.7571138211382,78.58231707317073,56.258468834688344,48.27235772357724
FBgn0037156,92.11551490514906,0.0,51.44817073170732,58.28252032520326,64.29539295392954,52.989498644986455
FBgn0037163,66.23475609756098,66.38719512195121,27.074864498644985,12.90650406504065,0.0,42.87771002710027
FBgn0037164,0.0,73.94139566395664,34.09552845528455,25.338753387533874,34.857723577235774,61.05182926829268
FBgn0037165,0.0,0.0,4.04810298102981,0.0,0.0,0.0
FBgn0037166,91.25169376693766,71.52777777777779,64.82892953929539,41.09078590785908,0.0,0.0
FBgn0037167,63.23678861788618,65.55724932249322,28.76863143631436,29.46307588075881,41.72594850948509,49.635840108401084
FBgn0037170,63.609417344173444,0.0,9.900067750677506,4.0650406504065035,0.0,30.614837398373986
FBgn0037171,0.0,90.3201219512195,39.41395663956639,36.763211382113816,38.69410569105691,66.42107046070461
FBgn0037181,0.0,0.0,2.5999322493224932,8.172425474254743,28.59078590785908,0.0
FBgn0037182,88.07588075880759,92.58130081300813,90.03218157181571,90.54031165311653,91.48035230352303,84.7560975609756
FBgn0037183,0.0,0.0,37.36449864498645,19.520663956639567,34.773035230352306,0.0
FBgn0037184,0.0,91.64126016260163,72.11212737127371,73.05216802168022,72.22222222222221,76.50745257452574
FBgn0037185,91.52269647696477,73.09451219512195,73.60264227642277,71.57859078590786,72.49322493224932,61.238143631436316
FBgn0037186,0.0,62.87262872628726,37.74559620596206,44.06334688346883,36.492208672086726,50.11856368563685
FBgn0037188,82.52032520325203,87.33062330623305,88.89735772357723,87.45765582655827,83.98543360433605,90.3709349593496
FBgn0037191,0.0,0.0,21.587059620596204,27.52371273712737,0.0,0.0
FBgn0037195,0.0,46.12127371273713,22.306910569105693,9.493563685636856,0.0,0.0
FBgn0037197,0.0,55.81808943089431,24.09383468834688,29.471544715447155,42.05623306233062,0.0
FBgn0037199,80.32689701897019,81.28387533875339,80.61483739837398,78.4298780487805,87.29674796747967,76.72764227642277
FBgn0037200,0.0,69.95257452574526,61.19579945799458,56.664972899728994,65.31165311653116,61.72086720867209
FBgn0037202,0.0,56.91056910569105,77.84552845528455,69.42750677506776,61.119579945799465,86.44986449864498
FBgn0037203,0.0,51.61754742547425,37.82181571815718,37.55081300813008,36.2720189701897,36.2720189701897
FBgn0037206,98.14532520325203,69.50372628726286,78.07418699186992,69.31741192411924,60.56910569105691,75.63516260162602
FBgn0037207,90.02371273712737,0.0,41.25169376693767,10.035569105691057,0.0,37.06808943089431
FBgn0037213,0.0,70.57079945799458,26.236449864498645,0.0,0.0,0.0
